gdp_2018_wb,source_iso_code,source_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
18418860354.4238,004,Afghanistan,321567558.959,169733981.41799998,321567558.959,169733981.41799998,21.672765416092012,1673.5101336151013,796843.0456713145,774233.0385219926,664591.2583847076,635257.479816788,796843.0456713145,886966.5122898959,1096057.1550807182,1159651.249021079,100.0,100.0,0.0,112733.47376790328,431465.8966960106,524393.7692042909,0.00433,0.0042,0.00361,0.00345,0.00433,0.00482,0.00595,0.0063,0.0,0.00061,0.00234,0.00285
15156424061.9815,008,Albania,1821288538.1350002,476690149.85200006,1821288538.1350002,476690149.85200006,332.93051350859383,25637.679541140857,16588780.861194605,16009707.089568848,14518499.137634704,13951952.94587284,16588780.861194605,17711999.34469345,21619603.745619934,22745832.74837642,100.0,100.0,0.0,1702292.2551246006,7101104.60798523,8793879.802503582,0.10945,0.10563,0.09579,0.09205,0.10945,0.11686,0.14264,0.15007,0.0,0.01123,0.04685,0.05802
174910891124.491,012,Algeria,53874374098.228,24891212494.093,53874374098.228,24891212494.093,12532.96578987134,967073.3866398194,539806693.1275615,533735853.7898797,459582816.1566853,446849442.1174921,539806693.1275615,592828055.9996114,712490380.6277729,754568380.5070592,100.0,100.0,0.0,59092202.2097317,252907564.47108763,307718938.38956714,0.30862,0.30515,0.26275,0.25547,0.30862,0.33893,0.40734,0.4314,0.0,0.03378,0.14459,0.17593
639000000.0,016,American Samoa,2035519.855,471875.56700000004,2035519.855,471875.56700000016,0.45883587605355863,35.49213146084031,26544.830234691297,26779.575703771086,22607.368617317134,22549.77439074175,26544.830234691297,30429.691872147912,35175.551299888306,37580.78212326308,100.0,100.0,0.0,3650.116168376826,12568.182682571172,15031.007732521331,0.00415,0.00419,0.00354,0.00353,0.00415,0.00476,0.0055,0.00588,0.0,0.00057,0.00197,0.00235
3218419896.93327,020,Andorra,13067772.785999998,27137642.35,13067772.785999998,27137642.35,10.962948912727107,848.6976226859761,367315.7900008746,365884.8906508099,309756.9410132206,290128.4569841725,367315.7900008746,402794.56665911723,475229.6071469699,492820.3687859524,100.0,100.0,0.0,36909.67600830732,165472.6661337493,202691.91180177988,0.01141,0.01137,0.00962,0.00901,0.01141,0.01252,0.01477,0.01531,0.0,0.00115,0.00514,0.0063
77792944471.9494,024,Angola,15520950271.928999,7013780886.498001,15520950271.928999,7013780886.498001,10294.604595838882,793853.0389677319,502618752.0950801,489012745.39800775,435796393.7107195,423838483.44681364,502618752.0950801,538640632.762438,662553064.0126859,702000588.0139805,100.0,100.0,0.0,49627887.36443031,226756670.30196637,278162104.56716686,0.6461,0.62861,0.5602,0.54483,0.6461,0.6924,0.85169,0.9024,0.0,0.06379,0.29149,0.35757
1604770370.37037,028,Antigua and Barbuda,78467122.13599999,59633176.561,78467122.13599999,59633176.561,23.7425516578579,1810.5849100019607,1010785.8680550302,976054.2086124151,936207.2778823257,918005.5824941363,1010785.8680550302,1081061.3813132765,1318822.379421217,1408624.9164881455,100.0,100.0,0.0,105007.17270086135,382615.1015388912,490619.3339940092,0.06299,0.06082,0.05834,0.0572,0.06299,0.06737,0.08218,0.08778,0.0,0.00654,0.02384,0.03057
47112479289.4186,031,Azerbaijan,21444362166.133,10448913165.737001,21444362166.133,10448913165.737001,5726.015993846473,441814.2030280205,266243738.87039346,264165763.63742065,227442805.61734113,221885084.0200496,266243738.87039346,292028965.50455093,347589608.9301822,369487911.19336957,100.0,100.0,0.0,27863201.86713028,120146803.31284109,147602827.17331997,0.56512,0.56071,0.48277,0.47097,0.56512,0.61985,0.73779,0.78427,0.0,0.05914,0.25502,0.3133
524819898586.906,032,Argentina,41443482208.491,19559617141.561,41443482208.491,19559617141.561,20546.836481323426,1590050.9114438193,1031472583.8350416,1033025845.8227638,873185954.0436457,838903765.8465182,1031472583.8350416,1142779519.894264,1344675714.7159545,1412158639.0582762,100.0,100.0,0.0,109753674.07150018,471489760.6723088,573254873.211758,0.19654,0.19683,0.16638,0.15985,0.19654,0.21775,0.25622,0.26907,0.0,0.02091,0.08984,0.10923
1428266513154.48,036,Australia,147469473973.11,57849292617.993996,147469473973.11,57849292617.993996,57157.16977414892,4425427.100455097,2227493216.173654,2175567510.5786843,1869699394.8443835,1771115857.3776677,2227493216.173654,2540374037.332658,3117516380.7094297,3257082585.028468,100.0,100.0,0.0,364806526.7539735,1247816985.8650463,1485966727.6508005,0.15596,0.15232,0.13091,0.124,0.15596,0.17786,0.21827,0.22804,0.0,0.02554,0.08737,0.10404
