gdp_2018_wb,dest_iso_code,dest_country,vol_kg,val_usd,vol_kg_recon,val_usd_recon,ene_tj_recon,co2_t_recon,bau_usd_23_recon,bau_usd_30_recon,bau_usd_40_recon,bau_usd_50_recon,s24_usd_23_recon,s24_usd_30_recon,s24_usd_40_recon,s24_usd_50_recon,pct_vol_recon,pct_val_recon,s24_usd_23_recon_del,s24_usd_30_recon_del,s24_usd_40_recon_del,s24_usd_50_recon_del,bau_23_pct_gdp,bau_30_pct_gdp,bau_40_pct_gdp,bau_50_pct_gdp,s24_23_pct_gdp,s24_30_pct_gdp,s24_40_pct_gdp,s24_50_pct_gdp,s24_del_23_pct_gdp,s24_del_30_pct_gdp,s24_del_40_pct_gdp,s24_del_50_pct_gdp
18418860354.4238,004,Afghanistan,3425111387.732,918625825.679,3425111387.732,918625825.679,439.8999328200566,34012.97433759061,16734688.398750233,16258595.67347053,14212431.430113383,13766262.899142899,16734688.398750233,18538012.52867109,22809449.714609653,23982953.70210404,100.0,100.0,0.0,2279416.855200559,8597018.28449627,10216690.80296114,0.09086,0.08827,0.07716,0.07474,0.09086,0.10065,0.12384,0.13021,0.0,0.01238,0.04668,0.05547
15156424061.9815,008,Albania,608053758.3,1117440260.257,608053758.3,1117440260.257,156.22561136165973,11955.554901930316,7224656.477036521,6913183.125498561,6508937.4202915365,6334971.140599727,7224656.477036521,7944302.332989685,9742375.013165912,10211436.398069102,100.0,100.0,0.0,1031119.207491124,3233437.592874375,3876465.2574693756,0.04767,0.04561,0.04295,0.0418,0.04767,0.05242,0.06428,0.06737,0.0,0.0068,0.02133,0.02558
174910891124.491,012,Algeria,13475061361.832,8179151340.702001,13475061361.832,8179151340.702001,5769.899228021079,445774.09808790317,288776046.1861723,288306783.94622374,244584230.12446845,239801376.4705316,288776046.1861723,323624999.12296593,382315064.3131936,406757892.63155997,100.0,100.0,0.0,35318215.176742196,137730834.18872517,166956516.16102836,0.1651,0.16483,0.13983,0.1371,0.1651,0.18502,0.21858,0.23255,0.0,0.02019,0.07874,0.09545
3218419896.93327,020,Andorra,133200609.46200001,296826087.324,133200609.46200001,296826087.324,14.312169831429314,1097.3343952745802,508996.4601548472,483948.2686354727,446035.47247839055,435012.2381395904,508996.4601548472,553012.9817558058,694325.9356198712,734600.2455018144,100.0,100.0,0.0,69064.7131203331,248290.4631414807,299588.007362224,0.01582,0.01504,0.01386,0.01352,0.01582,0.01718,0.02157,0.02282,0.0,0.00215,0.00771,0.00931
77792944471.9494,024,Angola,5222726902.154,4662062331.331,5222726902.154,4662062331.331,3221.127316857012,249076.11626087222,111038033.17027295,106625153.83542152,97161995.74401958,91086312.47332227,111038033.17027295,119483227.05737913,152371318.37306127,158262234.2827742,100.0,100.0,0.0,12858073.221957609,55209322.62904169,67175921.80945194,0.14274,0.13706,0.1249,0.11709,0.14274,0.15359,0.19587,0.20344,0.0,0.01653,0.07097,0.08635
1604770370.37037,028,Antigua and Barbuda,25822288.406,41425534.998,25822288.406,41425534.997999996,4.783662092506958,368.0554499963015,198459.89198222966,184750.64117110908,178239.5904154948,176133.15151233066,198459.89198222966,219550.63279636105,285092.457734021,299762.87019878795,100.0,100.0,0.0,34799.991625251976,106852.8673185262,123629.71868645729,0.01237,0.01151,0.01111,0.01098,0.01237,0.01368,0.01777,0.01868,0.0,0.00217,0.00666,0.0077
47112479289.4186,031,Azerbaijan,1573328636.517,2171450493.567,1573328636.517,2171450493.567,450.98200039087715,34835.00877754698,17551264.393855862,16757037.901259618,15161189.428750312,14493927.55043867,17551264.393855862,19404461.19810614,25280288.06393218,26560586.18623235,100.0,100.0,0.0,2647423.296846522,10119098.635181868,12066658.63579368,0.03725,0.03557,0.03218,0.03076,0.03725,0.04119,0.05366,0.05638,0.0,0.00562,0.02148,0.02561
524819898586.906,032,Argentina,16205436455.452,14603928942.291,16205436455.452,14603928942.291,6918.991013529574,534997.26973533,342764695.34432775,337520581.0904254,289034431.1714693,281241501.9732938,342764695.34432775,377213237.9851632,454425711.281261,481504057.7687782,100.0,100.0,0.0,39692656.89473784,165391280.10979176,200262555.79548442,0.06531,0.06431,0.05507,0.05359,0.06531,0.07187,0.08659,0.09175,0.0,0.00756,0.03151,0.03816
1428266513154.48,036,Australia,90785269505.721,125392809595.034,90785269505.721,125392809595.034,38147.72686131699,2953167.557492298,1690368307.2880619,1650758015.1419084,1487138466.4519584,1450366578.4848282,1690368307.2880619,1895731849.2070882,2354168041.2800174,2471229237.10314,100.0,100.0,0.0,244973834.06517982,867029574.828059,1020862658.6183116,0.11835,0.11558,0.10412,0.10155,0.11835,0.13273,0.16483,0.17302,0.0,0.01715,0.06071,0.07148
454991174096.094,040,Austria,22157276872.438,29970296642.91,22157276872.438,29970296642.91,6024.713384169166,463551.69248174765,245452710.73221007,235832476.2583151,212547257.89044178,206562160.12608704,245452710.73221007,270126260.05820185,337557605.76730907,357096739.0175912,100.0,100.0,0.0,34293783.79988676,125010347.8768673,150534578.89150414,0.05395,0.05183,0.04671,0.0454,0.05395,0.05937,0.07419,0.07848,0.0,0.00754,0.02748,0.03309
