Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
El Bosque,1735,417,104906.7,106666.8,2006.1,2006.2,2006.7,2007.3,851.8,1384.4,1324.4,1461.6,73.0,121.6,173.9,189.3,20.0,34.8,21.1,22.4,15400.3,1191513.0,1214390.0,89172653.8,260534850.7,289383139.6,51396.3,159832.0,182856.9
Buenaventura,1177,549,87604.5,98762.3,2009.2,2009.7,2009.1,2009.2,1143.0,1389.7,1371.4,1388.0,73.0,135.1,167.3,169.6,29.0,54.0,35.2,38.9,9264.3,716986.4,730752.6,54913983.3,156580506.2,182843483.5,46655.9,160753.3,189274.6
Mamonal,617,350,26190.0,32405.2,2006.3,2007.2,2008.1,2009.0,1547.3,1794.5,1802.4,1938.8,125.0,201.5,338.8,405.5,32.0,73.2,75.0,88.7,3532.6,269552.0,274727.4,17727926.4,54126025.4,62785399.3,28732.5,109842.7,136635.4
Santa Marta,599,323,43971.7,68480.7,2005.9,2007.5,2008.7,2009.2,844.8,2547.9,2762.8,3446.0,75.0,252.8,614.5,707.8,27.0,64.9,129.2,153.2,4854.5,374765.2,381960.6,27682436.6,82351111.7,94347234.3,46214.4,163247.4,191889.0
Barranquilla,590,423,17011.9,27056.7,2008.2,2008.9,2009.7,2009.8,1227.4,1773.7,1694.1,1716.7,114.0,182.1,292.7,294.8,43.0,74.6,90.9,93.7,2323.6,178664.4,182094.7,15246660.0,40599084.2,52183152.3,25841.8,97568.5,120322.7
Cartagena,390,242,22266.9,24984.1,2003.8,2004.5,2007.4,2008.3,1089.5,1941.2,1848.9,1878.0,102.0,211.7,313.1,370.3,25.0,84.6,39.1,47.7,2674.6,206530.3,210495.6,17821387.9,49023792.8,57638013.6,45695.9,145754.2,172575.4
Puerto Bolivar,384,254,73146.0,138770.8,2003.6,2008.0,2010.2,2010.3,2959.3,3659.3,4134.6,4246.0,324.5,361.9,495.0,498.1,60.5,99.4,94.6,94.1,4806.1,371552.2,378686.0,31967447.3,72774053.3,84251852.9,83248.6,276677.9,327435.8
Carbonera Muelle,358,237,94578.3,180447.0,2010.5,2010.6,2010.1,2010.1,2524.0,4065.0,4261.2,4331.0,298.5,409.5,646.7,650.8,88.5,89.3,90.6,90.7,5842.3,452175.7,460857.5,40827418.6,87375626.1,100978978.7,114043.1,356802.2,418316.1
Covenas,271,158,52412.1,100067.1,2008.8,2008.9,2011.3,2011.3,1055.6,2680.8,2912.0,2965.0,111.0,273.6,800.9,807.0,42.0,57.8,56.9,57.0,4469.5,344914.2,351536.6,34570948.6,63518922.8,70898818.2,127568.1,330637.0,409156.0
Turbo,262,54,4288.8,5140.3,2002.8,2001.8,2005.7,2005.9,476.9,1080.1,762.8,775.8,49.5,79.1,101.2,102.2,29.0,44.2,31.3,31.4,988.1,75977.2,77436.0,6044767.7,18671144.7,20622924.3,23071.6,71689.6,82603.9
Leticia,141,6,81.8,61.0,2009.4,2002.5,2004.1,2005.4,279.1,827.3,535.9,883.2,16.0,121.5,196.0,306.8,11.0,47.4,36.4,48.4,41.9,3184.2,3245.4,137557.9,351786.7,489171.6,975.6,3051.4,4180.5
Pozos Colorados,90,74,4010.7,6734.2,2010.9,2010.7,2011.2,2011.1,1635.8,1499.3,1478.7,1470.9,158.5,180.6,199.8,199.4,42.0,60.8,53.9,54.1,561.3,43148.5,43976.9,1709936.6,9743786.0,11202165.0,18999.3,129393.3,157970.8
San Andres,84,10,60.1,71.9,1989.4,1987.2,1991.7,1989.8,190.2,344.1,300.3,285.0,22.0,44.4,63.5,62.5,15.0,64.7,32.9,34.6,20.8,1567.9,1598.0,227376.2,625590.4,886138.7,2706.9,8514.0,12021.7
Tolu,21,21,1082.5,1756.1,2009.9,2009.9,2010.5,2010.4,1653.6,2149.0,2097.5,2070.7,136.0,202.0,249.1,246.8,61.0,70.9,82.1,82.6,110.7,8532.6,8696.4,713482.9,1721363.0,2423977.6,33975.4,135728.7,168638.0
Tumaco,19,16,1108.6,1907.8,2005.0,2006.4,2006.1,2006.1,1468.5,1766.2,2365.9,2381.5,124.0,183.2,322.1,321.3,32.0,62.0,42.5,42.0,185.2,14220.9,14493.9,1528789.0,2529900.9,3400709.0,80462.6,193371.6,242744.0
Puerto Colombia,11,11,195.4,262.9,2000.0,2000.0,2010.8,2010.7,902.7,1016.0,960.4,1040.1,116.0,146.0,146.4,153.7,38.0,57.2,42.9,44.3,26.1,2000.9,2039.3,198131.8,518418.2,653650.0,18012.0,60819.8,73711.7
Bahia Solano,10,5,78.5,92.6,1983.2,1984.4,1981.9,1981.7,3839.0,8244.5,4541.2,6496.9,614.5,848.5,1171.3,1234.4,96.0,80.6,85.9,91.7,53.2,3994.1,4070.8,622676.3,1400352.1,1619181.5,62267.6,149025.1,179080.3
Providencia,6,4,7.9,1.3,1971.7,1978.5,2000.1,1984.2,236.3,353.0,443.9,297.2,36.5,39.8,40.3,42.1,11.5,139.0,31.7,165.5,3.1,240.3,245.0,5638.3,18922.0,31512.7,939.7,3124.2,4632.1
Puerto Limon,2,2,34.1,44.9,2009.0,2009.0,2009.0,2009.0,1704.5,1704.5,1683.5,1674.4,181.0,181.0,182.4,183.4,103.0,103.0,101.7,100.7,6.9,524.1,534.2,23836.8,76654.5,98337.9,11918.4,67812.4,90698.7
Acandi,1,1,51.7,59.5,2010.0,2010.0,2010.0,2010.0,1441.9,1441.9,1441.9,1441.9,87.0,87.0,87.0,87.0,11.0,11.0,11.0,11.0,6.8,523.0,533.1,49928.1,179876.6,195272.3,49928.1,180329.4,210502.4
Manaure,1,1,0.3,0.4,1966.0,1966.0,1966.0,1966.0,505.9,505.9,505.9,505.9,71.0,71.0,71.0,71.0,438.0,438.0,438.0,438.0,0.4,32.0,32.6,1324.4,3799.4,5460.0,1324.4,4316.9,6208.7
Riohacha,1,1,73.1,61.2,1976.0,1976.0,1976.0,1976.0,1345.0,1345.0,1345.0,1345.0,225.0,225.0,225.0,225.0,193.0,193.0,193.0,193.0,4.3,333.8,340.2,426852.4,875807.5,943735.6,426852.4,949818.5,1072479.5
