Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Guatemala,238,121,704.8,877.9,2008.5,2008.9,2008.3,2008.4,73.2,114.4,94.9,102.4,7.0,15.1,29.9,33.3,32.0,35.8,41.8,48.3,226.7,17527.3,17863.8,493582.9,1872242.7,2172828.2,2073.9,8788.0,10585.2
United States of America,93,80,7016.9,11384.3,2011.9,2012.2,2012.0,2012.0,2503.5,2629.8,2690.3,2681.0,250.0,270.0,270.7,272.8,68.0,72.1,76.1,76.5,782.3,60349.7,61508.4,4181922.2,12849638.5,15493926.4,44966.9,209353.5,258722.7
Mexico,79,53,2174.2,2836.7,2009.5,2010.5,2010.7,2011.0,938.4,1109.1,1091.2,1084.6,78.0,148.5,136.9,126.9,40.0,54.4,54.1,63.0,322.8,24877.7,25355.4,1567966.2,5422863.5,6352488.9,19847.7,82155.3,99707.2
Nicaragua,68,27,327.3,424.4,2008.0,2007.8,2008.2,2008.3,184.4,211.8,203.7,205.7,16.0,21.9,20.5,20.7,34.0,45.7,40.9,43.5,77.8,5987.5,6102.5,310133.7,1158720.2,1316881.6,4560.8,18417.6,22145.8
Costa Rica,42,19,394.7,484.4,2004.9,2005.8,2006.9,2008.0,428.5,447.9,432.4,436.5,35.5,49.0,41.7,40.2,41.5,63.3,49.2,55.2,78.6,6034.7,6150.6,397916.1,1419729.7,1680832.7,9474.2,38412.9,46860.8
Panama,33,33,811.6,1271.8,2007.6,2007.6,2008.9,2009.8,911.1,1834.3,1001.7,966.9,82.0,213.5,203.5,154.6,61.0,77.4,71.8,72.7,157.1,12050.4,12281.8,898998.4,2501086.3,2960815.6,27242.4,93807.2,113789.1
Honduras,31,29,310.7,117.5,2009.0,2009.0,2009.2,2008.8,177.4,190.4,185.7,191.6,15.0,23.4,26.1,24.6,8.0,16.8,15.9,21.1,23.0,1776.6,1810.7,110003.0,483364.0,558845.9,3548.5,13937.8,15334.4
Ecuador,15,11,416.6,592.2,2002.1,2003.6,2003.4,2005.1,1202.6,3356.4,1504.3,1375.8,152.0,583.5,379.2,285.9,75.0,136.2,78.6,69.5,104.7,8017.5,8171.4,605078.6,1707882.3,1975150.1,40338.6,130102.8,156538.4
China,12,12,3262.8,5548.5,2013.1,2013.1,2012.9,2012.9,8135.1,8451.1,8426.6,8430.9,705.0,720.7,727.2,728.9,89.5,109.1,110.6,109.4,286.1,22123.2,22547.9,1966883.2,5582364.4,7610475.8,163906.9,754468.4,969327.1
"Korea, Republic of",8,8,1516.8,2584.8,2006.4,2006.4,2009.8,2009.7,7392.3,6777.1,7563.2,7588.1,638.0,576.9,648.2,647.5,52.0,71.4,70.7,71.0,138.6,10724.2,10930.1,1027467.3,2295863.2,2906297.3,128433.4,461159.2,554863.7
Japan,8,8,1834.3,2724.7,2011.1,2011.1,2010.5,2012.3,6909.2,7066.4,7059.2,7086.2,653.0,634.5,625.4,655.0,15.5,44.2,40.3,46.9,131.2,10157.1,10352.1,1252329.6,3030380.6,3854069.0,156541.2,564420.6,675694.1
India,5,5,184.5,315.9,1995.4,1995.4,1993.8,1993.8,2183.5,4474.8,1593.1,1519.0,230.0,325.4,251.0,222.0,10.0,132.4,464.1,484.8,24.2,1858.7,1894.3,248240.1,581583.8,728463.9,49648.0,146435.4,188841.9
Colombia,3,3,66.4,114.6,2014.7,2014.7,2014.8,2014.8,995.2,1079.8,1046.8,1047.2,73.0,86.0,84.4,84.5,47.0,104.7,143.3,144.4,12.1,931.5,949.4,42628.9,150990.4,175818.9,14209.6,62280.8,75014.8
Sri Lanka,3,1,142.2,247.5,2010.0,2010.0,2010.0,2010.0,998.9,998.9,1441.3,1441.3,146.0,146.0,1038.3,1038.3,46.0,46.0,45.8,45.8,7.0,541.5,551.9,110430.1,218560.6,271085.8,36810.0,117513.2,136630.9
Malaysia,3,3,889.3,1459.7,2009.3,2009.3,2009.3,2009.2,9873.0,9874.9,9874.2,9873.7,794.0,817.7,818.9,819.2,167.0,168.3,166.7,169.6,112.7,8732.2,8899.9,628268.0,2424071.3,2768466.5,209422.7,983967.7,1182738.9
Russian Federation,2,2,375.4,651.5,2013.0,2013.0,2014.1,2014.2,7062.3,7062.3,7102.8,7106.0,551.0,551.0,551.4,551.4,43.5,43.5,34.8,34.1,37.0,2867.3,2922.4,173131.2,495393.7,657811.6,86565.6,401257.8,504388.6
Chile,2,2,72.7,111.1,2016.5,2016.5,2016.6,2016.5,2484.2,2484.2,2477.1,2479.6,175.5,175.5,175.9,175.7,107.0,107.0,105.0,105.8,15.1,1165.8,1188.2,72039.1,257032.4,301761.2,36019.5,145013.4,172872.4
South Africa,1,1,41.4,49.9,1989.0,1989.0,1989.0,1989.0,8148.0,8148.0,8148.0,8148.0,609.0,609.0,609.0,609.0,241.0,241.0,241.0,241.0,22.7,1726.3,1759.5,147933.4,323241.6,364101.3,147933.4,315244.4,340369.2
Curaçao,1,1,61.6,103.9,2009.0,2009.0,2009.0,2009.0,2064.0,2064.0,2064.0,2064.0,631.0,631.0,631.0,631.0,33.0,33.0,33.0,33.0,10.9,845.1,861.4,20035.3,146725.0,169171.1,20035.3,173015.1,212686.7
