Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Suva,307,154,11673.1,8697.5,2004.2,2004.1,2006.1,2008.2,1165.6,5255.0,1760.5,1892.5,95.0,635.4,328.7,368.7,29.0,350.5,63.7,81.5,2063.2,158618.6,161664.1,9858785.9,32990428.5,37962856.0,32113.3,113008.3,131713.6
Lautoka,171,54,3049.4,3314.3,2005.0,2005.6,2007.0,2008.5,723.9,1601.6,1219.4,1367.7,79.0,137.6,174.8,205.9,20.0,40.1,46.1,57.7,583.6,44983.6,45847.3,2984973.1,9632372.2,12062172.9,17456.0,68460.4,84467.9
Nadi,75,33,2765.6,4112.8,2009.0,2008.4,2010.1,2011.4,1162.6,1989.5,2202.8,2540.6,105.0,174.2,294.3,314.6,45.0,50.1,44.8,47.0,464.8,35892.4,36581.5,1868803.1,7466437.0,8512954.3,24917.4,120839.9,145542.4
Malau (Labasa),23,7,500.5,772.6,2011.0,2011.6,2011.9,2011.8,510.8,2766.0,2643.0,2838.5,54.0,242.4,353.0,358.8,40.0,83.4,99.5,103.0,65.9,5082.4,5179.9,368608.4,898275.8,1108535.2,16026.5,60037.4,72502.5
Savusavu,12,3,70.6,46.0,2008.6,2004.3,2004.4,2008.8,592.0,541.7,518.8,562.9,54.0,45.0,45.9,52.6,16.0,11.3,11.7,16.4,19.1,1468.6,1496.8,79690.5,319958.9,414888.6,6640.9,26918.7,33911.8
Nambouwalu,6,6,1011.2,1244.1,2004.7,2004.7,2004.7,2004.7,4297.4,4276.3,4269.9,4267.9,311.0,314.8,315.3,315.1,94.5,90.7,90.8,90.8,69.8,5408.0,5511.9,555108.0,1098656.4,1362689.1,92518.0,295356.5,343406.7
Yasawa Island,2,2,190.5,197.0,1995.5,1995.5,2002.9,2006.6,2336.6,2336.6,2249.1,3641.2,168.5,168.5,247.3,286.6,7.0,7.0,7.6,8.0,18.9,1463.4,1491.5,95626.6,247739.1,314443.0,47813.3,169882.3,198359.1
Maolo Lailai Island,2,2,37.4,61.1,2008.5,2008.5,2008.0,2008.0,4160.8,4160.8,1233.6,1202.1,733.5,733.5,172.1,135.1,0.0,0.0,0.0,0.0,5.2,394.8,402.4,14909.6,92811.9,106895.9,7454.8,54300.4,66585.7
Levuka,2,2,34.0,38.7,1992.5,1992.5,1990.2,1990.4,6757.8,6757.8,6772.1,6675.3,1314.5,1314.5,1488.9,1471.5,144.0,144.0,151.5,150.8,32.9,2479.5,2527.1,168112.9,370387.9,419351.0,84056.5,189369.2,215922.9
Vatulele,2,2,216.5,79.3,2000.0,2000.0,2008.4,2006.9,2357.7,2357.7,3476.3,2565.3,174.5,174.5,279.7,260.8,3.0,3.0,2.1,2.2,13.2,1020.9,1040.5,91661.0,365421.7,421675.7,45830.5,161555.8,175199.5
Rabi,1,1,2.4,1.0,2015.0,2015.0,2015.0,2015.0,1758.9,1758.9,1758.9,1758.9,490.0,490.0,490.0,490.0,16.0,16.0,16.0,16.0,1.8,133.4,135.9,3179.7,9122.1,13109.1,3179.7,10364.5,14906.8
Momi,1,1,1.4,0.5,2009.0,2009.0,2009.0,2009.0,7085.9,7085.9,7085.9,7085.9,1528.0,1528.0,1528.0,1528.0,0.0,0.0,0.0,0.0,2.4,181.3,184.7,3189.1,7074.1,8042.6,3189.1,7505.5,8897.3
Vatia Wharf,1,1,178.6,328.0,1990.0,1990.0,1990.0,1990.0,4657.8,4657.8,4657.8,4657.8,437.0,437.0,437.0,437.0,3.0,3.0,3.0,3.0,8.5,656.0,668.6,66810.9,196109.2,224031.4,66810.9,305295.2,373111.3
Ellington Wharf,1,1,2.1,2.2,2005.0,2005.0,2005.0,2005.0,566.8,566.8,566.8,566.8,55.0,55.0,55.0,55.0,11.0,11.0,11.0,11.0,0.9,70.2,71.6,1649.0,4777.5,5275.9,1649.0,9028.3,11872.5
Vanua Mbalavu,1,1,1.0,0.2,2003.0,2003.0,2003.0,2003.0,258.9,258.9,258.9,258.9,20.0,20.0,20.0,20.0,28.0,28.0,28.0,28.0,0.5,41.4,42.2,694.0,3919.4,8522.3,694.0,4009.2,7748.5
Wairiki,1,1,5.2,2.6,2002.0,2002.0,2002.0,2002.0,16057.6,16057.6,16057.6,16057.6,2504.0,2504.0,2504.0,2504.0,53.0,53.0,53.0,53.0,9.7,727.6,741.6,18417.0,40852.5,46445.1,18417.0,43343.6,51381.2
