Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,4828,1561,30736.5,42354.5,1999.4,2001.3,2004.1,2003.9,830.1,1179.3,1201.3,1179.4,87.0,126.8,208.7,202.6,29.0,51.6,64.8,65.7,6666.2,510091.3,519885.0,50175565.8,152305062.9,216704293.9,10392.6,42105.0,56749.1
Container,4141,698,154963.3,174915.5,2005.0,2005.8,2007.2,2007.1,619.4,838.8,836.7,838.3,51.0,63.5,121.4,121.9,17.0,23.7,26.1,26.1,19389.0,1497753.5,1526510.4,122227703.4,348270339.5,393321905.8,29516.5,95094.1,111445.2
Ferry-RoPax,3345,94,55411.3,10568.1,1994.2,1993.1,1999.6,1999.1,332.6,767.3,579.3,591.7,18.0,44.7,141.2,195.0,5.0,30.0,67.9,73.2,14745.1,1135730.5,1157536.6,65659003.3,162369519.0,199228443.5,19629.0,41900.1,38162.2
Chemical tanker,2547,827,42263.9,67569.6,2006.6,2008.2,2008.4,2008.5,849.8,1276.6,1109.1,1113.8,82.0,124.8,193.9,195.5,29.0,41.6,52.3,52.1,8891.1,684944.3,698095.2,29745376.4,133223563.2,158088204.9,11678.6,60213.4,74143.4
Ro-Ro,2264,102,60521.3,28302.6,2005.2,2004.3,2008.0,2007.7,703.0,1399.0,930.4,963.1,41.0,97.4,116.0,124.4,12.0,32.9,24.4,27.0,10155.9,786355.8,801453.8,30855369.9,60792157.4,67290553.2,13628.7,32059.1,34294.6
Cruise,1785,142,59180.6,5736.8,2003.4,2000.8,2007.2,2006.3,313.1,405.1,432.8,442.1,20.0,34.8,43.8,45.1,9.0,11.4,10.6,10.7,12538.0,970817.7,989457.4,21110702.2,104168412.6,115989251.0,11826.7,51627.0,54179.4
Bulk carrier,1707,956,55802.8,98092.3,2002.7,2008.0,2008.8,2008.9,1071.8,1351.8,1425.2,1445.5,94.0,138.6,232.5,238.0,25.0,66.3,76.2,75.8,4882.1,377138.6,384379.6,33319650.9,80697660.1,103013492.0,19519.4,74270.5,90817.9
Oil tanker,1667,613,100481.2,185079.5,2008.2,2008.6,2008.7,2008.7,888.6,1214.6,1147.2,1150.5,91.0,136.7,228.3,230.0,23.0,48.6,47.2,47.0,9727.1,752524.7,766973.2,91143873.3,184303750.9,205733466.3,54675.4,140795.7,173438.1
Vehicle,892,236,49422.9,16300.3,2004.0,2007.2,2007.3,2006.8,798.2,1379.1,1196.4,1180.2,59.0,94.3,164.7,162.1,12.0,14.2,15.6,16.1,3393.8,262589.7,267631.5,16506128.4,72774327.9,84280088.8,18504.6,70336.1,75697.0
Liquefied gas tanker,658,151,44258.5,40080.4,2007.5,2008.1,2007.6,2007.6,864.1,2132.9,2867.9,2743.4,76.0,160.9,307.4,305.7,27.0,45.9,67.0,66.3,6829.3,445527.4,454081.5,14058208.4,73802216.2,66674045.3,21365.1,155771.4,228426.2
Service - tug,334,104,203.6,165.5,2001.7,1999.8,2007.1,2006.9,264.1,1049.5,507.0,497.9,65.5,305.8,636.4,559.9,18.5,133.2,149.9,141.2,247.7,18631.6,18989.3,4234139.9,10012466.3,13406151.2,12677.1,32734.5,44197.1
Service - other,96,42,494.5,364.5,1994.9,1996.5,1993.2,1990.8,503.2,1486.6,1687.0,1503.6,54.0,182.7,441.7,400.1,25.5,119.6,199.2,158.4,204.9,15518.3,15816.3,2543681.7,5219076.4,5623870.9,26496.7,58959.6,66573.7
Ferry-pax only,84,14,40.4,8.1,1990.1,1987.8,1985.5,1983.0,298.8,3469.0,1146.1,1018.9,9.0,314.1,1028.6,1318.2,30.0,90.5,209.6,160.4,61.8,4643.8,4732.9,655289.3,1338707.7,1686892.0,7801.1,18170.4,23955.5
Refrigerated bulk,78,25,1076.7,1165.5,2003.1,1996.1,2002.1,2002.1,1303.4,1811.4,1565.3,1551.8,74.0,119.9,165.0,163.7,23.0,58.6,50.5,50.2,517.5,39484.3,40242.4,3457605.1,7555035.1,8510036.5,44328.3,94463.1,101991.7
Miscellaneous - fishing,62,30,25.2,25.3,1986.5,1992.6,1991.8,1991.5,508.5,2073.3,1611.6,1521.8,65.5,235.9,613.0,475.2,53.0,172.8,156.9,178.8,72.9,5483.8,5589.1,177945.7,394718.0,448754.4,2870.1,6754.6,8007.2
Other liquids tankers,2,1,82.1,114.0,2014.0,2014.0,2014.0,2014.0,1454.2,1454.2,1454.2,1454.2,136.5,136.5,142.2,142.2,3.5,3.5,4.0,4.0,6.1,472.6,481.7,58485.4,166993.8,360038.6,29242.7,101307.9,163702.8
