Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,683,136,3232.3,4075.9,2003.2,2005.2,2004.0,2003.9,260.1,263.5,280.8,281.8,23.0,33.3,59.7,58.5,17.0,24.2,32.9,33.3,757.6,58179.1,59296.1,4388720.8,13909672.7,15537004.3,6425.7,21170.0,24779.8
Chemical tanker,383,96,1101.2,1736.7,2008.9,2007.6,2009.8,2009.9,275.7,421.0,388.0,393.9,25.0,49.5,119.1,123.3,42.0,65.4,77.6,78.2,547.9,41664.7,42464.6,1726003.5,5854478.5,7282327.5,4506.5,17156.8,21719.1
General cargo,327,155,389.2,546.0,1999.5,2002.1,2000.7,2000.5,268.0,254.8,269.0,262.3,30.0,54.6,68.0,67.5,38.0,62.8,84.4,82.9,142.2,10784.2,10991.3,1061510.7,3100480.5,4357251.1,3246.2,12120.4,16108.3
Miscellaneous - fishing,223,25,552.3,333.1,1992.4,1990.2,1989.1,1988.5,605.3,1956.9,2649.5,2566.2,114.0,445.4,673.2,924.6,34.0,256.5,326.1,350.2,245.8,18466.2,18820.8,2342695.8,5196551.0,5907952.2,10505.4,24723.9,29308.7
Bulk carrier,155,120,1017.0,1712.2,2005.8,2008.7,2009.4,2009.4,256.8,267.8,278.6,280.3,49.0,149.8,204.5,206.4,68.0,99.2,118.6,119.9,168.4,12979.4,13228.6,744079.9,1656688.6,2164027.9,4800.5,17114.6,20699.0
Oil tanker,91,15,372.1,606.3,1999.6,2006.7,2007.6,2008.4,230.6,502.9,410.2,428.9,28.0,82.4,192.0,203.1,32.0,80.8,83.1,87.1,159.7,12198.1,12432.3,556172.5,870929.8,942648.1,6111.8,17903.8,23052.6
Vehicle,81,19,579.8,177.7,2005.7,2004.6,2006.4,2006.3,208.7,236.9,233.4,233.9,17.0,22.2,23.7,24.3,9.0,12.7,12.2,12.5,60.7,4686.2,4776.2,179945.1,793365.1,918797.7,2221.5,8444.1,9087.7
Service - tug,51,9,21.7,16.5,1982.7,1990.3,1984.4,1984.1,486.9,1707.9,1480.8,974.6,85.0,1142.5,1261.3,1194.5,46.0,259.7,558.6,551.2,79.3,5950.2,6064.5,422158.4,998277.5,1336639.6,8277.6,21374.3,28858.9
Liquefied gas tanker,46,29,404.1,455.0,2008.4,2008.8,2011.5,2011.4,316.2,448.1,415.6,406.4,25.5,87.9,184.8,175.7,31.5,54.8,44.6,45.5,96.0,7366.5,7508.0,231333.1,899164.9,890520.1,5029.0,31417.6,43665.6
Service - other,44,15,108.8,85.9,1998.1,1996.4,2001.2,2000.1,803.2,1518.9,1323.4,989.2,293.5,641.6,728.0,851.7,30.0,134.6,299.2,357.5,81.7,6136.5,6254.3,599472.5,1229986.0,1325384.4,13624.4,30316.5,34231.7
Cruise,17,11,89.8,11.3,1987.6,1992.9,1995.8,1993.1,259.4,221.3,217.0,219.2,18.0,19.4,21.3,21.4,8.0,13.7,19.8,17.6,27.7,2133.8,2174.8,36078.4,246099.9,333498.8,2122.3,12404.6,15178.5
Ro-Ro,6,2,43.8,22.7,2000.7,2006.0,2005.2,2004.1,216.3,245.9,247.6,244.3,20.5,60.0,56.4,50.8,12.0,11.5,10.4,10.4,5.9,460.7,469.5,24415.2,44989.5,52454.8,4069.2,9564.1,10152.5
Refrigerated bulk,2,2,1.8,2.1,1999.0,1999.0,1991.4,1991.1,235.6,235.6,297.3,312.4,19.5,19.5,30.9,31.3,115.0,115.0,51.0,48.6,2.8,213.7,217.9,6184.5,13513.3,15221.5,3092.2,6589.5,7114.7
Ferry-RoPax,2,1,54.4,4.3,1996.0,1996.0,1996.0,1996.0,613.9,613.9,613.9,613.9,122.0,122.0,155.8,155.8,45.5,45.5,41.9,41.9,16.7,1277.9,1302.4,26986.6,66735.8,81885.3,13493.3,28802.8,26233.3
