Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Villeta,79,19,609.8,1120.6,1993.8,1997.1,1999.0,1999.0,28.9,129.2,236.3,241.0,10.0,74.6,108.0,107.9,27.0,27.9,316.6,317.5,191.7,14830.1,15114.9,324401.3,594808.3,663574.8,4106.3,11150.0,14188.2
Barrio Caacupe Mi,51,17,136.7,246.3,1990.5,1996.3,1998.9,1998.9,39.7,197.3,337.2,365.0,30.0,69.6,109.2,109.6,9.0,21.9,15.6,15.2,20.9,1595.6,1626.3,156811.7,338399.4,421928.7,3074.7,8176.4,10738.2
San Antonio,30,12,493.8,909.9,2000.1,2002.0,1999.0,1999.0,84.2,140.1,189.1,189.4,57.5,133.8,164.0,164.1,21.0,23.0,41.0,41.1,153.6,11889.8,12118.1,253070.2,452434.3,496876.6,8435.7,22751.9,28792.7
Puerto Sara,29,13,99.2,182.0,1995.6,1998.5,1998.8,1998.9,23.6,32.0,102.7,104.6,10.0,16.7,55.2,55.5,38.0,115.5,43.1,41.9,38.0,2921.6,2977.7,50574.2,92282.3,102662.8,1743.9,4777.7,6081.1
Concepcion,28,8,5.1,4.7,2002.1,2005.1,2008.3,2008.3,163.7,134.4,180.0,166.1,26.5,27.9,54.7,51.2,8.5,11.6,21.7,17.8,5.4,404.2,411.9,101640.8,240906.2,321945.5,3630.0,9415.3,12681.0
Puerto Antequera,27,9,5.2,4.8,2003.0,2006.1,2007.8,2006.6,111.8,158.9,162.5,151.2,26.0,28.8,36.4,33.3,20.0,238.3,225.2,234.9,8.3,620.3,632.2,89085.8,211782.1,282701.1,3299.5,8600.9,11565.5
Calera Cue,15,4,1.4,1.2,1999.9,2003.8,2008.1,2009.8,96.0,91.2,99.3,99.3,18.0,17.2,22.9,22.6,6.0,6.0,6.1,5.8,1.3,95.2,97.1,29416.4,69560.9,93138.3,1961.1,5063.9,6837.1
Asuncion,14,10,25.4,38.2,2001.6,1998.1,2001.2,1999.2,109.9,503.0,78.1,65.6,130.5,264.0,124.9,79.6,10.5,19.2,10.1,9.5,12.3,929.6,947.4,176197.6,372119.0,495699.5,12585.5,32606.5,43646.3
Puerto Guarani,9,5,1.3,1.1,2009.6,2006.0,2012.8,2013.2,95.0,138.8,134.8,132.5,20.0,71.6,73.5,71.8,7.0,5.7,6.6,6.5,1.3,97.2,99.0,28285.1,66885.7,89556.3,3142.8,8115.2,10957.0
Colonia Mariano Roque Alonso,9,6,34.7,62.5,2003.2,2004.7,1999.7,1999.4,148.7,189.3,217.3,217.2,36.0,77.8,81.0,80.2,2.0,20.7,15.5,15.7,9.7,744.2,758.4,55910.8,122380.7,156593.8,6212.3,16252.6,21518.1
Puerto La Victoria,8,4,1.0,1.0,2004.2,2004.0,2003.5,2007.7,126.6,156.8,151.8,147.8,20.0,41.8,58.2,50.8,6.0,5.8,8.3,8.9,1.1,79.8,81.4,25444.2,60167.8,80561.4,3180.5,8212.7,11088.5
Fuerte Olimpo,4,3,0.5,0.4,1992.5,1999.7,2001.2,2003.2,166.5,156.8,155.7,154.9,48.5,40.7,40.4,39.0,8.5,6.2,6.3,6.1,0.6,42.4,43.2,10274.9,24297.0,32532.3,2568.7,6632.9,8955.5
Encarnacion,1,1,0.2,0.1,1971.0,1971.0,1971.0,1971.0,394.8,394.8,394.8,394.8,561.0,561.0,561.0,561.0,5.0,5.0,5.0,5.0,0.6,46.5,47.4,2998.6,7090.9,9494.3,2998.6,7743.0,10454.4
