Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Mauritius,271,117,1602.5,1611.3,2003.8,2003.9,2003.5,2004.2,149.2,732.4,187.7,181.2,17.0,151.9,305.4,173.3,30.0,73.7,41.2,45.1,486.9,37283.3,37999.1,1966502.8,5619629.7,6319353.4,7256.5,22032.3,25737.4
Madagascar,112,48,1356.7,1299.8,2004.2,2002.8,2005.0,2004.9,390.4,576.8,452.5,445.4,35.0,41.3,44.5,45.7,28.0,66.7,54.2,66.3,245.6,18912.6,19275.7,1149034.4,4476370.3,5067188.2,10259.2,40467.0,47953.9
Australia,66,34,16928.4,16829.8,2005.6,2005.1,2005.6,2005.8,3325.7,3766.2,3588.1,3590.3,220.0,245.3,238.8,240.3,17.0,25.1,24.0,25.1,1776.1,137574.2,140215.7,13739494.5,35447580.6,39389462.2,208174.2,577646.2,650598.8
South Africa,57,44,3914.6,4726.6,2007.3,2007.5,2008.8,2009.3,1452.9,1557.7,1781.0,1764.0,132.0,143.1,163.4,167.8,42.0,66.8,43.9,48.1,488.2,37783.9,38509.3,2604708.3,8172466.0,9363378.2,45696.6,168767.6,197854.8
United Arab Emirates,21,20,1837.5,2647.0,2007.4,2007.6,2007.7,2008.0,2996.4,3075.3,2990.0,2983.8,246.0,253.0,248.9,251.9,28.0,45.3,46.1,47.0,229.2,17754.8,18095.7,1678431.8,5559075.6,6205089.5,79925.3,300779.9,355820.6
Mozambique,15,14,577.6,729.6,2007.6,2007.4,2007.1,2008.6,1355.3,1384.8,1381.7,1385.8,108.0,115.8,114.8,118.7,29.0,49.1,48.0,59.2,89.8,6937.5,7070.7,539903.5,1743203.6,1967228.4,35993.6,131611.7,153248.7
Mayotte,12,5,71.1,99.6,2008.4,2008.2,2008.3,2008.3,918.5,909.5,911.3,912.0,77.5,77.0,88.4,89.0,82.5,56.7,75.9,76.4,29.2,2237.9,2280.9,158266.9,454342.9,555616.7,13188.9,43922.9,52880.3
India,8,8,1088.2,1477.3,2011.8,2011.8,2010.8,2011.3,2858.1,2918.1,2857.9,2882.1,261.0,263.5,225.6,242.0,33.5,44.2,32.7,37.6,108.1,8370.9,8531.6,617180.4,2296429.3,2634697.1,77147.6,343595.8,410618.5
Antarctica,5,3,66.3,33.2,2000.0,1999.3,1998.6,1998.6,7941.2,6951.5,4544.7,4487.8,317.0,437.3,483.3,466.5,201.0,569.3,416.5,422.4,35.6,2697.1,2748.9,232850.6,499486.2,555412.2,46570.1,106976.3,124251.3
Singapore,5,5,599.7,823.6,2004.0,2004.0,2001.8,2002.4,3757.3,4343.3,4405.7,4586.7,274.0,432.4,405.3,427.8,14.0,14.4,12.7,12.1,71.5,5516.3,5622.2,762582.6,1958312.5,2180114.6,152516.5,477787.1,561313.4
Malaysia,5,5,1285.1,1446.7,2009.6,2009.6,2009.9,2009.8,3460.1,3485.7,3482.4,3481.3,228.0,237.8,238.9,238.6,18.0,23.2,20.4,20.8,107.9,8355.8,8516.3,926331.4,2431884.1,2748819.8,185266.3,563749.3,650869.5
