Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Da Nang,1344,309,9718.9,13304.5,2002.7,2004.9,2002.9,2002.8,520.8,1523.1,715.8,805.6,45.5,168.2,314.6,369.1,19.0,86.2,91.6,103.4,2238.3,171425.7,174717.1,17688858.7,46805517.0,58153432.1,13161.4,45249.8,56570.3
Nam Hai Dinh Vu Port,892,230,7197.1,9284.6,2002.8,2004.7,2003.2,2003.3,778.3,1824.1,951.5,1045.7,71.0,200.4,383.9,477.5,27.0,170.5,229.3,282.1,1837.8,140144.4,142835.2,15642020.6,36999349.5,45440498.5,17535.9,56461.2,71017.1
Saigon,809,137,4521.8,6190.9,2001.6,2006.0,2002.5,2002.9,726.5,736.4,747.2,745.1,72.0,80.7,157.7,161.6,19.0,46.4,85.2,89.4,1150.6,88078.5,89769.6,10031615.7,27113721.7,32544305.2,12400.0,38264.9,45674.4
Hai Phong,798,205,3652.2,5111.1,2003.2,2006.0,2003.7,2004.1,752.1,1212.9,787.0,810.9,74.0,165.2,216.9,237.7,21.0,155.6,96.4,107.9,1069.6,81615.7,83182.7,9797953.1,24774296.9,30517480.6,12278.1,37936.5,46937.7
Cai Mep,653,324,8089.5,12142.3,2002.6,2004.7,2005.2,2005.8,741.7,1757.9,1530.4,1939.6,75.0,317.9,817.4,864.6,27.0,120.7,200.3,221.0,1569.9,119984.7,122288.4,15502070.2,38453228.5,49394352.6,23739.8,74714.6,95873.6
Cat Lai,467,140,4664.2,5921.0,2002.4,2003.7,2003.3,2002.8,749.3,1089.9,780.7,791.2,64.0,119.9,103.5,111.0,16.0,63.5,41.6,50.0,1024.8,78590.1,80099.1,6506228.8,21013115.9,24244460.8,13932.0,50912.2,61993.9
Hiep Phuoc,363,120,3163.7,4651.4,2004.3,2006.1,2003.3,2003.1,746.2,1500.1,1377.4,1491.1,79.0,210.3,500.8,522.3,28.0,114.4,195.6,196.0,703.5,53858.5,54892.6,4852639.0,11178703.4,15038081.3,13368.2,46555.6,59179.0
Qui Nhon,347,175,3006.5,4627.2,2004.0,2004.6,2004.8,2004.7,485.6,1168.3,898.5,1002.3,42.0,140.1,470.2,499.1,20.0,62.7,58.9,61.9,481.3,36893.1,37601.4,4691921.1,11760906.0,14991695.2,13521.4,46146.7,58297.7
Dung Quat,344,182,3713.6,5993.7,2003.6,2004.9,2003.6,2003.8,824.3,1308.4,1746.5,1817.0,77.5,162.9,531.2,557.2,18.0,55.9,77.1,79.8,725.5,55510.6,56576.4,6354701.2,15335298.0,19675455.1,18473.0,61807.6,78939.5
Hon Gai,329,188,6118.9,9910.4,2007.9,2008.1,2008.7,2008.8,912.7,1479.5,1039.0,1222.1,90.0,198.7,276.5,267.5,79.0,128.6,155.3,161.5,945.9,72656.2,74051.2,7521699.1,19386094.7,24142370.8,22862.3,79541.8,99164.6
