,exp_code_str3,exp_name,HS2,Description,USD,tonne
0,136,Cayman Islands,89,"Ships, boats and floating structures",472357325.969,8553.210649999999
1,136,Cayman Islands,78,Lead and articles thereof,10626448.953,4443.879628
2,136,Cayman Islands,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",8855536.803,675.791984
3,136,Cayman Islands,10,Cereals,8554066.54,30010.8
4,136,Cayman Islands,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2167292.142,308.83851
5,136,Cayman Islands,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,1972001.268,2592.5154549999997
6,136,Cayman Islands,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",1608539.911,509.220763
7,136,Cayman Islands,29,Organic chemicals,1597893.63,1414.782253
8,136,Cayman Islands,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1363033.02,725.177981
9,136,Cayman Islands,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1067541.187,2.804741
10,136,Cayman Islands,21,Miscellaneous edible preparations,1031846.7870000001,100.540722
11,136,Cayman Islands,64,Footwear; gaiters and the like; parts of such articles,761582.6540000001,25.320504999999997
12,136,Cayman Islands,74,Copper and articles thereof,566110.723,209.424162
13,136,Cayman Islands,72,Iron and steel,452487.474,1491.7461059999998
14,136,Cayman Islands,97,Works of art; collectors' pieces and antiques,389605.552,9.85578
15,136,Cayman Islands,31,Fertilizers,340765.055,1385.475092
16,136,Cayman Islands,73,Iron or steel articles,306983.266,76.422645
17,136,Cayman Islands,39,Plastics and articles thereof,300009.505,198.416154
18,136,Cayman Islands,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",280926.696,1.070821
19,136,Cayman Islands,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",239764.042,75.538444
20,136,Cayman Islands,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",230597.40300000002,0.429007
21,136,Cayman Islands,22,"Beverages, spirits and vinegar",160744.122,2.971677
22,136,Cayman Islands,88,"Aircraft, spacecraft, and parts thereof",153251.755,0.20456400000000002
23,136,Cayman Islands,30,Pharmaceutical products,123736.24899999998,2.490885
24,136,Cayman Islands,38,Chemical products n.e.c.,112773.457,191.249967
25,136,Cayman Islands,91,Clocks and watches and parts thereof,98753.266,0.257333
26,136,Cayman Islands,76,Aluminium and articles thereof,78682.706,92.76484599999999
27,136,Cayman Islands,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",64567.195999999996,21.196137999999998
28,136,Cayman Islands,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",46995.079,32.493227000000005
29,136,Cayman Islands,62,Apparel and clothing accessories; not knitted or crocheted,45121.436,2.630331
30,136,Cayman Islands,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",37000.895,1.7630060000000003
31,136,Cayman Islands,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",33624.457,50.727209
32,136,Cayman Islands,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",33026.507,3.799217
33,136,Cayman Islands,95,"Toys, games and sports requisites; parts and accessories thereof",25970.149,7.503136
34,136,Cayman Islands,40,Rubber and articles thereof,21676.768,1.8339960000000002
35,136,Cayman Islands,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",20401.394,164.677714
36,136,Cayman Islands,44,Wood and articles of wood; wood charcoal,17979.673,29.083849
37,136,Cayman Islands,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",16078.961,16.579150000000002
38,136,Cayman Islands,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",14438.735999999999,3.234708
39,136,Cayman Islands,61,Apparel and clothing accessories; knitted or crocheted,9844.009,0.5918370000000001
40,136,Cayman Islands,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",9560.428,2.89795
41,136,Cayman Islands,81,"Metals; n.e.c., cermets and articles thereof",9522.787,0.037024
42,136,Cayman Islands,75,Nickel and articles thereof,9128.342,0.001895
43,136,Cayman Islands,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",6502.237,11.899039
44,136,Cayman Islands,70,Glass and glassware,6302.02,33.181234
45,136,Cayman Islands,96,Miscellaneous manufactured articles,6245.444,0.36492
46,136,Cayman Islands,83,Metal; miscellaneous products of base metal,5792.884,9.443102999999999
47,136,Cayman Islands,69,Ceramic products,5453.514999999999,9.086387
48,136,Cayman Islands,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",4955.673000000001,0.690545
49,136,Cayman Islands,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,3922.079,0.017012
50,136,Cayman Islands,09,"Coffee, tea, mate and spices",3385.97,1.017543
51,136,Cayman Islands,57,Carpets and other textile floor coverings,2672.73,19.744766000000002
52,136,Cayman Islands,37,Photographic or cinematographic goods,2669.366,0.04013800000000001
53,136,Cayman Islands,05,Animal originated products; not elsewhere specified or included,2596.857,3.215424
54,136,Cayman Islands,07,Vegetables and certain roots and tubers; edible,2369.194,1.315473
55,136,Cayman Islands,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1951.915,0.021018000000000002
56,136,Cayman Islands,65,Headgear and parts thereof,1429.981,0.012783
57,136,Cayman Islands,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",1160.28,0.005
58,136,Cayman Islands,02,Meat and edible meat offal,794.389,0.026354
59,136,Cayman Islands,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",789.355,0.000157
60,136,Cayman Islands,45,Cork and articles of cork,583.747,0.000964
61,136,Cayman Islands,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",561.752,0.056729999999999996
62,136,Cayman Islands,92,Musical instruments; parts and accessories of such articles,510.291,1.288707
63,136,Cayman Islands,08,"Fruit and nuts, edible; peel of citrus fruit or melons",363.449,0.011840999999999999
64,136,Cayman Islands,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",358.179,0.15304700000000002
65,136,Cayman Islands,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",333.62,0.363936
66,136,Cayman Islands,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",97.533,0.003849
67,136,Cayman Islands,01,Animals; live,5.98,0.004889
