,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,Description,USD,tonne,clean_desc
0,840,United States of America,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2092157138.304,3567397.7075949996,"United States of America - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
1,156,China,320,Guatemala,72,Iron and steel,179273072.262,285516.881792,China - Iron and steel
2,840,United States of America,320,Guatemala,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",353870218.164,280052.23185900005,"United States of America - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
3,840,United States of America,320,Guatemala,10,Cereals,80943219.251,234514.39322099998,United States of America - Cereals
4,840,United States of America,320,Guatemala,23,"Food industries, residues and wastes thereof; prepared animal fodder",92886136.956,233263.681782,"United States of America - Food industries, residues and wastes thereof; prepared animal fodder"
5,840,United States of America,320,Guatemala,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",170914241.952,227177.65577900002,"United States of America - Paper and paperboard; articles of paper pulp, of paper or paperboard"
6,156,China,320,Guatemala,31,Fertilizers,33999639.708,175425.662526,China - Fertilizers
7,704,Viet Nam,320,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5594441.071,146165.049257,"Viet Nam - Salt; sulphur; earths, stone; plastering materials, lime and cement"
8,604,Peru,320,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",5421875.858,138038.457746,"Peru - Salt; sulphur; earths, stone; plastering materials, lime and cement"
9,643,Russian Federation,320,Guatemala,72,Iron and steel,66654002.211,121231.729131,Russian Federation - Iron and steel
10,484,Mexico,320,Guatemala,72,Iron and steel,75627693.336,114155.63556299999,Mexico - Iron and steel
11,840,United States of America,320,Guatemala,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",32303163.195,112848.65806100001,"United States of America - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
12,840,United States of America,320,Guatemala,39,Plastics and articles thereof,151415033.283,102626.963463,United States of America - Plastics and articles thereof
13,340,Honduras,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",58949941.205,102132.834794,"Honduras - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
14,218,Ecuador,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",37136030.762,97852.63083499999,"Ecuador - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
15,156,China,320,Guatemala,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",21274501.532,97761.24710400001,"China - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
16,484,Mexico,320,Guatemala,22,"Beverages, spirits and vinegar",47517516.096,95435.113928,"Mexico - Beverages, spirits and vinegar"
17,458,Malaysia,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",62809876.28,82556.017515,"Malaysia - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
18,484,Mexico,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",67723221.381,71874.40993099999,"Mexico - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
19,222,El Salvador,320,Guatemala,72,Iron and steel,62421750.698,71024.357639,El Salvador - Iron and steel
20,233,Estonia,320,Guatemala,31,Fertilizers,16400727.119,70558.30726999999,Estonia - Fertilizers
21,840,United States of America,320,Guatemala,02,Meat and edible meat offal,54113292.115,64212.773048,United States of America - Meat and edible meat offal
22,156,China,320,Guatemala,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",3297536.87,63684.050826,"China - Salt; sulphur; earths, stone; plastering materials, lime and cement"
23,440,Lithuania,320,Guatemala,31,Fertilizers,15502899.455,62212.190014,Lithuania - Fertilizers
24,840,United States of America,320,Guatemala,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",39645573.986,61437.929715000006,"United States of America - Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
25,392,Japan,320,Guatemala,72,Iron and steel,40581178.65,60223.945606,Japan - Iron and steel
26,156,China,320,Guatemala,39,Plastics and articles thereof,76497836.455,57212.31593,China - Plastics and articles thereof
27,340,Honduras,320,Guatemala,72,Iron and steel,28307701.855,56969.387965999995,Honduras - Iron and steel
28,531,Curaçao,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",31009995.658,53171.540652,"Curaçao - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
29,578,Norway,320,Guatemala,31,Fertilizers,14512917.298,50612.980637,Norway - Fertilizers
30,246,Finland,320,Guatemala,31,Fertilizers,12457564.335,48720.536121,Finland - Fertilizers
31,428,Latvia,320,Guatemala,31,Fertilizers,11899814.377,47251.426998,Latvia - Fertilizers
32,156,China,320,Guatemala,69,Ceramic products,13632270.476,43912.349214,China - Ceramic products
33,682,Saudi Arabia,320,Guatemala,39,Plastics and articles thereof,47464030.856,41678.234564000006,Saudi Arabia - Plastics and articles thereof
34,222,El Salvador,320,Guatemala,22,"Beverages, spirits and vinegar",19061298.648,41490.91831,"El Salvador - Beverages, spirits and vinegar"
35,410,"Korea, Republic of",320,Guatemala,72,Iron and steel,23439618.84,41390.563661,"Korea, Republic of - Iron and steel"
36,222,El Salvador,320,Guatemala,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",32080225.447,41083.405827,"El Salvador - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
37,484,Mexico,320,Guatemala,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",18690830.247,40444.406832999994,"Mexico - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
38,188,Costa Rica,320,Guatemala,72,Iron and steel,25601502.395,39627.110917000005,Costa Rica - Iron and steel
