,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,682,Saudi Arabia,404,Kenya,1222288041.274,2252011.0464250003
1,784,United Arab Emirates,404,Kenya,1050673966.163,1936231.2555920002
2,356,India,404,Kenya,816246867.164,972903.874922
3,156,China,404,Kenya,595817845.4760001,531542.936454
4,360,Indonesia,404,Kenya,212224859.904,436065.831199
5,818,Egypt,404,Kenya,154050676.823,289987.19614
6,392,Japan,404,Kenya,378334954.837,269445.671852
7,643,Russian Federation,404,Kenya,89784055.04200001,214453.534344
8,710,South Africa,404,Kenya,164115863.23,183767.27754999997
9,364,Iran (Islamic Republic of),404,Kenya,50488216.896000005,139947.70328299998
10,458,Malaysia,404,Kenya,64038913.15400001,126029.392375
11,840,United States of America,404,Kenya,251274777.18400002,112231.599888
12,032,Argentina,404,Kenya,26525852.531,103250.518611
13,792,Türkiye,404,Kenya,76519647.946,101362.10977499999
14,586,Pakistan,404,Kenya,43573991.993999995,100523.57158099998
15,380,Italy,404,Kenya,101837146.92300001,92273.466077
16,512,Oman,404,Kenya,44342658.092,91959.763375
17,528,Netherlands (Kingdom of the),404,Kenya,88572344.331,88774.935883
18,480,Mauritius,404,Kenya,42378209.531,74446.186742
19,800,Uganda,404,Kenya,48427872.592,70612.375537
20,048,Bahrain,404,Kenya,41500947.17,61003.467041
21,834,"Tanzania, United Republic of",404,Kenya,31993019.783999998,60648.531329000005
22,076,Brazil,404,Kenya,56816867.724,58200.598509
23,056,Belgium,404,Kenya,59392658.671000004,56845.39348299999
24,634,Qatar,404,Kenya,19700734.114,52192.439900000005
25,036,Australia,404,Kenya,24324133.601999998,51219.991630000004
26,578,Norway,404,Kenya,24297431.103,50750.671287
27,276,Germany,404,Kenya,216824472.06,46197.045378999996
28,410,"Korea, Republic of",404,Kenya,42895652.741,35697.924201999995
29,826,United Kingdom,404,Kenya,109899944.014,34828.687565
30,250,France,404,Kenya,97444426.715,31199.117107
31,764,Thailand,404,Kenya,28132347.646,25156.960728000002
32,124,Canada,404,Kenya,17804259.157,20719.036167000002
33,804,Ukraine,404,Kenya,11652386.668,20643.098770999997
34,752,Sweden,404,Kenya,25273176.996,19643.351199
35,724,Spain,404,Kenya,34240135.509,18023.037311
36,158,"China, Taiwan Province of",404,Kenya,19010500.023,14749.061135
37,704,Viet Nam,404,Kenya,7997836.707,13592.239362999999
38,246,Finland,404,Kenya,10142981.445,11787.184748
39,504,Morocco,404,Kenya,4502854.788,9729.575841
40,642,Romania,404,Kenya,4569342.764,9576.28607
41,508,Mozambique,404,Kenya,4481503.3440000005,8111.931548
42,376,Israel,404,Kenya,26424634.598,7855.210471
43,344,"China, Hong Kong SAR",404,Kenya,9690729.783,7475.810828000001
44,756,"Switzerland, Liechtenstein",404,Kenya,23233908.302,7457.670419000001
45,040,Austria,404,Kenya,9228014.193,7277.895717
46,620,Portugal,404,Kenya,7492406.4180000005,6825.376701
47,152,Chile,404,Kenya,3568967.702,6180.047348000001
48,894,Zambia,404,Kenya,5202519.748,6169.123684
