,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,643,Russian Federation,417,Kyrgyzstan,500567484.243,1120335.146062
1,156,China,417,Kyrgyzstan,174646107.511,125542.419256
2,398,Kazakhstan,417,Kyrgyzstan,67473870.803,300037.119875
3,792,Türkiye,417,Kyrgyzstan,29912100.82,14315.586585
4,392,Japan,417,Kyrgyzstan,27351648.18,11331.838165
5,840,United States of America,417,Kyrgyzstan,24184439.742000002,3015.404017
6,860,Uzbekistan,417,Kyrgyzstan,21431123.505,54787.579449
7,276,Germany,417,Kyrgyzstan,13925357.737,5121.356673
8,112,Belarus,417,Kyrgyzstan,11506533.072,11742.710715
9,440,Lithuania,417,Kyrgyzstan,11201201.491,9790.506535999999
10,250,France,417,Kyrgyzstan,5232433.682,941.847111
11,410,"Korea, Republic of",417,Kyrgyzstan,5146123.431,5279.798629
12,124,Canada,417,Kyrgyzstan,4994513.025,347.635937
13,380,Italy,417,Kyrgyzstan,4481667.1049999995,818.8922590000001
14,804,Ukraine,417,Kyrgyzstan,3416359.161,2739.695089
15,616,Poland,417,Kyrgyzstan,3260508.2909999997,1759.039
16,056,Belgium,417,Kyrgyzstan,3083325.503,1347.614045
17,428,Latvia,417,Kyrgyzstan,3018311.924,1819.3033599999999
18,076,Brazil,417,Kyrgyzstan,2713499.258,10512.559499
19,528,Netherlands (Kingdom of the),417,Kyrgyzstan,2613995.034,1055.608643
20,364,Iran (Islamic Republic of),417,Kyrgyzstan,2304793.892,3990.216345
21,218,Ecuador,417,Kyrgyzstan,2140420.011,8515.037
22,360,Indonesia,417,Kyrgyzstan,1780564.347,991.261888
23,752,Sweden,417,Kyrgyzstan,1631442.865,671.001125
24,724,Spain,417,Kyrgyzstan,1554472.989,388.056941
25,458,Malaysia,417,Kyrgyzstan,1414980.0990000002,435.427974
26,826,United Kingdom,417,Kyrgyzstan,1315117.993,311.198367
27,710,South Africa,417,Kyrgyzstan,1090452.2429999998,85.111556
28,100,Bulgaria,417,Kyrgyzstan,1058652.422,85.235172
29,356,India,417,Kyrgyzstan,1019806.766,379.597752
30,203,Czechia,417,Kyrgyzstan,1011000.696,271.31221
31,484,Mexico,417,Kyrgyzstan,974314.187,88.675178
32,608,Philippines,417,Kyrgyzstan,878524.6020000001,44.079723
33,764,Thailand,417,Kyrgyzstan,866766.902,420.701915
34,040,Austria,417,Kyrgyzstan,844324.369,281.848319
35,246,Finland,417,Kyrgyzstan,839957.828,761.099023
36,762,Tajikistan,417,Kyrgyzstan,784418.209,4021.1119919999996
37,031,Azerbaijan,417,Kyrgyzstan,769012.896,1178.335397
38,756,"Switzerland, Liechtenstein",417,Kyrgyzstan,726321.779,53.820652
39,784,United Arab Emirates,417,Kyrgyzstan,708282.139,366.967715
40,578,Norway,417,Kyrgyzstan,679261.573,497.28484599999996
41,348,Hungary,417,Kyrgyzstan,619865.502,126.350761
42,036,Australia,417,Kyrgyzstan,563715.102,121.447979
43,586,Pakistan,417,Kyrgyzstan,488411.426,257.990601
44,144,Sri Lanka,417,Kyrgyzstan,478425.62700000004,502.55246500000004
45,703,Slovakia,417,Kyrgyzstan,471595.866,47.977261999999996
46,702,Singapore,417,Kyrgyzstan,414264.637,201.78658400000003
47,704,Viet Nam,417,Kyrgyzstan,381539.688,276.744976
48,376,Israel,417,Kyrgyzstan,380396.34699999995,31.759057
49,705,Slovenia,417,Kyrgyzstan,360529.518,45.250334
50,642,Romania,417,Kyrgyzstan,359268.568,35.860106
51,158,"China, Taiwan Province of",417,Kyrgyzstan,347686.754,138.593379
52,233,Estonia,417,Kyrgyzstan,300731.233,216.1111
53,442,Luxembourg,417,Kyrgyzstan,241821.8,2.690319
54,795,Turkmenistan,417,Kyrgyzstan,224129.809,240.441046
55,268,Georgia,417,Kyrgyzstan,200608.034,338.495368
56,092,British Virgin Islands,417,Kyrgyzstan,179057.593,40.477478
57,208,Denmark,417,Kyrgyzstan,178517.55,37.864239
58,688,Serbia,417,Kyrgyzstan,146228.85700000002,36.161381
59,404,Kenya,417,Kyrgyzstan,139769.075,210.21298900000002
60,620,Portugal,417,Kyrgyzstan,135916.586,30.614784
61,818,Egypt,417,Kyrgyzstan,118939.163,25.125176
62,372,Ireland,417,Kyrgyzstan,114236.117,25.096656000000003
63,050,Bangladesh,417,Kyrgyzstan,97240.07,4.314205
64,682,Saudi Arabia,417,Kyrgyzstan,90967.858,63.64747
65,300,Greece,417,Kyrgyzstan,86993.567,12.594681999999999
66,498,"Moldova, Republic of",417,Kyrgyzstan,80363.819,111.319241
67,051,Armenia,417,Kyrgyzstan,69589.79299999999,58.913925
68,352,Iceland,417,Kyrgyzstan,45402.909,25.139954000000003
69,604,Peru,417,Kyrgyzstan,44391.499,12.175412
70,344,"China, Hong Kong SAR",417,Kyrgyzstan,41934.404,4.854921
71,188,Costa Rica,417,Kyrgyzstan,34257.316,0.057753
72,152,Chile,417,Kyrgyzstan,34119.92,20.306146
73,008,Albania,417,Kyrgyzstan,32643.518,0.267803
74,212,Dominica,417,Kyrgyzstan,23466.313000000002,8.649942999999999
75,070,Bosnia and Herzegovina,417,Kyrgyzstan,18091.074,5.748108
76,788,Tunisia,417,Kyrgyzstan,17655.966,1.6731679999999998
77,016,American Samoa,417,Kyrgyzstan,17615.679,33.0
78,760,Syrian Arab Republic,417,Kyrgyzstan,17331.098,8.987691000000002
79,554,New Zealand,417,Kyrgyzstan,13689.49,1.475422
80,020,Andorra,417,Kyrgyzstan,13618.725,2.437649
81,116,Cambodia,417,Kyrgyzstan,12697.197,0.973497
82,032,Argentina,417,Kyrgyzstan,11567.506,27.670666999999998
83,496,Mongolia,417,Kyrgyzstan,11211.601999999999,4.662085
84,192,Cuba,417,Kyrgyzstan,9401.292,0.181
85,214,Dominican Republic,417,Kyrgyzstan,9154.876,0.07511
86,400,Jordan,417,Kyrgyzstan,8404.45,2.649533
87,191,Croatia,417,Kyrgyzstan,8135.501,13.799073
88,807,North Macedonia,417,Kyrgyzstan,7875.43,0.102032
89,470,Malta,417,Kyrgyzstan,7002.415999999999,0.16744299999999998
90,104,Myanmar,417,Kyrgyzstan,5662.989,0.18437099999999998
91,480,Mauritius,417,Kyrgyzstan,3256.886,0.036504999999999996
92,170,Colombia,417,Kyrgyzstan,3171.3269999999998,0.257
93,408,"Korea, Dem. People's Rep. of",417,Kyrgyzstan,2303.9429999999998,11.91415
94,231,Ethiopia,417,Kyrgyzstan,1768.254,0.298998
95,196,Cyprus,417,Kyrgyzstan,1187.606,0.352597
96,660,Anguilla,417,Kyrgyzstan,1079.891,0.023312
97,320,Guatemala,417,Kyrgyzstan,980.732,0.082
98,862,Venezuela (Bolivarian Rep. of),417,Kyrgyzstan,948.649,0.050808
