,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,417,Kyrgyzstan,860,Uzbekistan,15235812.784,147836.617911
1,417,Kyrgyzstan,398,Kazakhstan,52338663.388,86103.96408399999
2,417,Kyrgyzstan,643,Russian Federation,56081585.95,35171.229203999996
3,417,Kyrgyzstan,762,Tajikistan,12147525.831,26820.917415
4,417,Kyrgyzstan,360,Indonesia,4602670.781,7682.8492049999995
5,417,Kyrgyzstan,792,Türkiye,5992293.0,7113.637000000001
6,417,Kyrgyzstan,156,China,7714249.9180000005,5821.487023000001
7,417,Kyrgyzstan,112,Belarus,2079545.03,3335.324583
8,417,Kyrgyzstan,276,Germany,4811501.072,1779.776567
9,417,Kyrgyzstan,024,Angola,673859.665,946.348
10,417,Kyrgyzstan,440,Lithuania,1357236.664,510.114818
11,417,Kyrgyzstan,528,Netherlands (Kingdom of the),766815.7749999999,431.56414600000005
12,417,Kyrgyzstan,840,United States of America,3056701.889,392.44075
13,417,Kyrgyzstan,048,Bahrain,4890184.646,376.51494299999996
14,417,Kyrgyzstan,300,Greece,336720.575,280.925
15,417,Kyrgyzstan,100,Bulgaria,330239.967,270.44160400000004
16,417,Kyrgyzstan,031,Azerbaijan,263119.36100000003,216.70253399999999
17,417,Kyrgyzstan,364,Iran (Islamic Republic of),552381.492,197.525139
18,417,Kyrgyzstan,616,Poland,372670.802,190.551975
19,417,Kyrgyzstan,807,North Macedonia,199131.269,175.601011
20,417,Kyrgyzstan,104,Myanmar,182530.466,156.505975
21,417,Kyrgyzstan,268,Georgia,163727.862,128.672429
22,417,Kyrgyzstan,702,Singapore,38807.732,127.572291
23,417,Kyrgyzstan,250,France,229785.508,114.79225699999999
24,417,Kyrgyzstan,604,Peru,188548.77000000002,78.13990000000001
25,417,Kyrgyzstan,004,Afghanistan,25713.042,75.669663
26,417,Kyrgyzstan,496,Mongolia,37552.547,64.96534600000001
27,417,Kyrgyzstan,372,Ireland,38917.439,64.572557
28,417,Kyrgyzstan,203,Czechia,434595.571,60.640840999999995
29,417,Kyrgyzstan,826,United Kingdom,11760184.157,52.008063
30,417,Kyrgyzstan,012,Algeria,81069.541,47.785765999999995
31,417,Kyrgyzstan,752,Sweden,48009.896,39.0
32,417,Kyrgyzstan,804,Ukraine,167968.347,36.955079
33,417,Kyrgyzstan,499,Montenegro,59049.979,36.155711000000004
34,417,Kyrgyzstan,498,"Moldova, Republic of",39421.138999999996,32.742747
35,417,Kyrgyzstan,724,Spain,71728.938,31.95
36,417,Kyrgyzstan,380,Italy,133106.636,31.004375
37,417,Kyrgyzstan,040,Austria,42813.884999999995,29.707144
38,417,Kyrgyzstan,682,Saudi Arabia,212316.318,25.631284
39,417,Kyrgyzstan,384,Côte d'Ivoire,17528.837,19.5
40,417,Kyrgyzstan,784,United Arab Emirates,158684.166,17.516751999999997
41,417,Kyrgyzstan,392,Japan,1048562.765,17.409501000000002
42,417,Kyrgyzstan,388,Jamaica,13074.41,12.494739
43,417,Kyrgyzstan,788,Tunisia,13275.0,12.043486999999999
44,417,Kyrgyzstan,356,India,46918.79,11.716045
45,417,Kyrgyzstan,554,New Zealand,13364.432,11.246219
46,417,Kyrgyzstan,410,"Korea, Republic of",55763.244000000006,10.89449
47,417,Kyrgyzstan,376,Israel,80477.683,10.048389
48,417,Kyrgyzstan,191,Croatia,23110.657,10.020251
49,417,Kyrgyzstan,566,Nigeria,10142.51,10.0
50,417,Kyrgyzstan,414,Kuwait,44467.465000000004,8.551338
51,417,Kyrgyzstan,051,Armenia,14205.717999999999,8.145834
52,417,Kyrgyzstan,208,Denmark,22896.484,6.5300839999999996
53,417,Kyrgyzstan,036,Australia,172255.537,6.3812
54,417,Kyrgyzstan,756,"Switzerland, Liechtenstein",12312.948,3.5214980000000002
55,417,Kyrgyzstan,144,Sri Lanka,14137.129,2.9752310000000004
56,417,Kyrgyzstan,586,Pakistan,13864.804999999998,2.7920740000000004
57,417,Kyrgyzstan,056,Belgium,7149.422,2.632124
58,417,Kyrgyzstan,578,Norway,4520.866,1.820122
59,417,Kyrgyzstan,296,Kiribati,7004.414,1.300378
60,417,Kyrgyzstan,422,Lebanon,7625.574,1.100077
61,417,Kyrgyzstan,352,Iceland,2548.31,0.763661
62,417,Kyrgyzstan,688,Serbia,1330.4180000000001,0.736684
63,417,Kyrgyzstan,703,Slovakia,25172.146,0.6543690000000001
64,417,Kyrgyzstan,344,"China, Hong Kong SAR",30973.337999999996,0.611844
65,417,Kyrgyzstan,218,Ecuador,2489.0,0.46004199999999995
66,417,Kyrgyzstan,642,Romania,15329.155,0.299036
67,417,Kyrgyzstan,180,"Congo, Dem. Rep. of the",199.287,0.24508000000000002
68,417,Kyrgyzstan,512,Oman,575.271,0.165048
69,417,Kyrgyzstan,608,Philippines,51830.66999999999,0.11559499999999999
70,417,Kyrgyzstan,400,Jordan,599.078,0.10639
71,417,Kyrgyzstan,504,Morocco,157.743,0.083192
72,417,Kyrgyzstan,275,State of Palestine,322.805,0.06644
73,417,Kyrgyzstan,120,Cameroon,1369.9959999999999,0.054961
74,417,Kyrgyzstan,246,Finland,8191.177,0.03476
75,417,Kyrgyzstan,404,Kenya,105.0,0.031472
76,417,Kyrgyzstan,258,French Polynesia,944.429,0.031004
77,417,Kyrgyzstan,214,Dominican Republic,450.72,0.017313
78,417,Kyrgyzstan,188,Costa Rica,253.487,0.015986
79,417,Kyrgyzstan,690,Seychelles,91.638,0.014157999999999999
80,417,Kyrgyzstan,348,Hungary,17.766,0.0071790000000000005
81,417,Kyrgyzstan,800,Uganda,25.736,0.004804
82,417,Kyrgyzstan,152,Chile,61.0,0.000769
83,417,Kyrgyzstan,558,Nicaragua,32.754,0.000186
84,417,Kyrgyzstan,222,El Salvador,5.302,4.8e-05
