,exp_code_str3,exp_name,imp_code_str3,imp_name,USD,tonne
0,466,Mali,156,China,23969288.152,27648.34863
1,466,Mali,784,United Arab Emirates,23397994.737,6.525162000000001
2,466,Mali,792,Türkiye,18996230.0,9889.988
3,466,Mali,764,Thailand,17241778.853,8733.406
4,466,Mali,620,Portugal,11418958.619,6550.411
5,466,Mali,854,Burkina Faso,10767178.258000001,32718.604721000003
6,466,Mali,250,France,6669594.348,2392.36257
7,466,Mali,324,Guinea,5494679.596,15737.156970999999
8,466,Mali,276,Germany,5138580.441,3002.6484379999997
9,466,Mali,356,India,1739891.644,1677.864269
10,466,Mali,840,United States of America,1627364.405,237.62881299999998
11,466,Mali,800,Uganda,1576916.623,0.418346
12,466,Mali,288,Ghana,1323133.138,483.276071
13,466,Mali,504,Morocco,1071465.403,205.08237400000002
14,466,Mali,724,Spain,879457.284,847.663
15,466,Mali,478,Mauritania,747674.435,2636.388139
16,466,Mali,392,Japan,652895.259,555.606861
17,466,Mali,686,Senegal,545436.067,1149.645761
18,466,Mali,056,Belgium,338347.092,39.88793199999999
19,466,Mali,246,Finland,239063.25300000003,37.610122
20,466,Mali,826,United Kingdom,227236.229,49.105176
21,466,Mali,528,Netherlands (Kingdom of the),180274.275,26.57038
22,466,Mali,616,Poland,128559.28300000001,125.637988
23,466,Mali,036,Australia,94579.63799999999,67.988355
24,466,Mali,028,Antigua and Barbuda,93819.712,98.80810000000001
25,466,Mali,470,Malta,91512.702,11.95
26,466,Mali,203,Czechia,89656.655,2.032195
27,466,Mali,384,Côte d'Ivoire,83047.6,26.0
28,466,Mali,024,Angola,83045.067,44.104
29,466,Mali,752,Sweden,53708.017,4.166389
30,466,Mali,344,"China, Hong Kong SAR",49435.907999999996,6.951213000000001
31,466,Mali,756,"Switzerland, Liechtenstein",40492.57,9.656418
32,466,Mali,376,Israel,36699.101,1.562589
33,466,Mali,703,Slovakia,35532.426,10.085471
34,466,Mali,562,Niger,34792.322,19.63644
35,466,Mali,372,Ireland,32927.038,10.766092
36,466,Mali,410,"Korea, Republic of",32107.629000000004,0.528573
37,466,Mali,096,Brunei Darussalam,26756.051,4.304181
38,466,Mali,780,Trinidad and Tobago,25832.559,22.659
39,466,Mali,442,Luxembourg,25267.844,11.261625
40,466,Mali,174,Comoros,25155.445,27.878
41,466,Mali,608,Philippines,24289.586,1.8391529999999998
42,466,Mali,040,Austria,24196.481,4.478343
