,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,Description,USD,tonne,clean_desc
0,380,Italy,756,"Switzerland, Liechtenstein",30,Pharmaceutical products,2991870017.964,9465.298789999999,Italy - Pharmaceutical products
1,276,Germany,756,"Switzerland, Liechtenstein",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2568167150.835,129537.50030599999,"Germany - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
2,276,Germany,756,"Switzerland, Liechtenstein",84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",2244546541.552,107658.140682,"Germany - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"
3,380,Italy,756,"Switzerland, Liechtenstein",71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2028440094.966,14538.24681,"Italy - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
4,380,Italy,756,"Switzerland, Liechtenstein",84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",1720914138.638,101100.782135,"Italy - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"
5,372,Ireland,756,"Switzerland, Liechtenstein",29,Organic chemicals,1704624794.394,243671.88955000002,Ireland - Organic chemicals
6,826,United Kingdom,756,"Switzerland, Liechtenstein",29,Organic chemicals,1380457756.42,14292.172564999999,United Kingdom - Organic chemicals
7,276,Germany,756,"Switzerland, Liechtenstein",39,Plastics and articles thereof,1237315294.682,209305.191919,Germany - Plastics and articles thereof
8,276,Germany,756,"Switzerland, Liechtenstein",85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1049631672.969,35547.896696,"Germany - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
9,380,Italy,756,"Switzerland, Liechtenstein",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",880783618.225,42895.261202,"Italy - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
10,276,Germany,756,"Switzerland, Liechtenstein",94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",728483994.358,87064.048277,"Germany - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
11,840,United States of America,756,"Switzerland, Liechtenstein",30,Pharmaceutical products,703810487.573,1880.874564,United States of America - Pharmaceutical products
12,380,Italy,756,"Switzerland, Liechtenstein",39,Plastics and articles thereof,655865714.712,165164.89909599998,Italy - Plastics and articles thereof
13,380,Italy,756,"Switzerland, Liechtenstein",94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",641044546.766,83474.00204,"Italy - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
14,380,Italy,756,"Switzerland, Liechtenstein",22,"Beverages, spirits and vinegar",578237223.903,299611.309,"Italy - Beverages, spirits and vinegar"
15,276,Germany,756,"Switzerland, Liechtenstein",73,Iron or steel articles,572651948.801,116338.18963400001,Germany - Iron or steel articles
16,826,United Kingdom,756,"Switzerland, Liechtenstein",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",563012174.019,21898.732463,"United Kingdom - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
17,380,Italy,756,"Switzerland, Liechtenstein",64,Footwear; gaiters and the like; parts of such articles,560056504.815,4890.513,Italy - Footwear; gaiters and the like; parts of such articles
18,380,Italy,756,"Switzerland, Liechtenstein",85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",557858708.073,41154.717992,"Italy - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
19,156,China,756,"Switzerland, Liechtenstein",85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",556893390.28,19049.334901000002,"China - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
20,276,Germany,756,"Switzerland, Liechtenstein",90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",506863603.38,4307.926912999999,"Germany - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories"
21,380,Italy,756,"Switzerland, Liechtenstein",73,Iron or steel articles,485749509.779,185863.213024,Italy - Iron or steel articles
22,380,Italy,756,"Switzerland, Liechtenstein",42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",469708839.46,1380.915869,"Italy - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
23,380,Italy,756,"Switzerland, Liechtenstein",62,Apparel and clothing accessories; not knitted or crocheted,454591802.04,2159.4598530000003,Italy - Apparel and clothing accessories; not knitted or crocheted
24,724,Spain,756,"Switzerland, Liechtenstein",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",444538589.211,31836.813337,"Spain - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
25,203,Czechia,756,"Switzerland, Liechtenstein",87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",444216073.622,30617.415791,"Czechia - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
26,276,Germany,756,"Switzerland, Liechtenstein",29,Organic chemicals,415219480.54,42127.284989,Germany - Organic chemicals
27,156,China,756,"Switzerland, Liechtenstein",84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",398824568.619,15707.298222,"China - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"
28,380,Italy,756,"Switzerland, Liechtenstein",72,Iron and steel,398655471.738,398132.68515100004,Italy - Iron and steel
29,276,Germany,756,"Switzerland, Liechtenstein",72,Iron and steel,397200344.736,286879.76847,Germany - Iron and steel
30,276,Germany,756,"Switzerland, Liechtenstein",48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",389579327.542,223591.059322,"Germany - Paper and paperboard; articles of paper pulp, of paper or paperboard"
