,exp_code_str3,exp_name,HS2,Description,USD,tonne
0,780,Trinidad and Tobago,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,165011711020.28098,118980805.03385802
1,780,Trinidad and Tobago,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",5548655905.527,12460989.934323
2,780,Trinidad and Tobago,29,Organic chemicals,1504559334.423,4793921.386644
3,780,Trinidad and Tobago,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",809535303.777,3229401.267805
4,780,Trinidad and Tobago,72,Iron and steel,603354805.6559999,1684821.2060570002
5,780,Trinidad and Tobago,31,Fertilizers,253700665.68199998,1356967.000077
6,780,Trinidad and Tobago,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",37745688.05899999,1258932.5248210002
7,780,Trinidad and Tobago,22,"Beverages, spirits and vinegar",82019736.984,100774.978497
8,780,Trinidad and Tobago,26,"Ores, slag and ash",6817814.674,85324.474324
9,780,Trinidad and Tobago,38,Chemical products n.e.c.,41818908.533,34773.88062
10,780,Trinidad and Tobago,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",49448176.12,33628.494307
11,780,Trinidad and Tobago,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",76201879.716,25465.273513
12,780,Trinidad and Tobago,39,Plastics and articles thereof,44328665.589,21061.847982
13,780,Trinidad and Tobago,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",20363996.402,20977.488737
14,780,Trinidad and Tobago,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",113525930.862,18702.482049000002
15,780,Trinidad and Tobago,70,Glass and glassware,8485482.501,15731.831643000001
16,780,Trinidad and Tobago,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",51552192.959,14888.86643
17,780,Trinidad and Tobago,21,Miscellaneous edible preparations,37604193.118,14061.390905
18,780,Trinidad and Tobago,73,Iron or steel articles,29767027.974,10959.153162
19,780,Trinidad and Tobago,20,"Preparations of vegetables, fruit, nuts or other parts of plants",23200155.577000003,10612.855075
20,780,Trinidad and Tobago,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",28411581.018999998,9871.730751000001
21,780,Trinidad and Tobago,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3084664.753,8703.551436
