,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,Description,USD,tonne,clean_desc
0,788,Tunisia,250,France,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1278530515.738,47864.250577,"France - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
1,788,Tunisia,276,Germany,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",604416628.403,38267.031437,"Germany - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
2,788,Tunisia,250,France,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",271962754.797,4127.630662,"France - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories"
3,788,Tunisia,250,France,62,Apparel and clothing accessories; not knitted or crocheted,267700917.436,8131.001153,France - Apparel and clothing accessories; not knitted or crocheted
4,788,Tunisia,250,France,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",234592020.664,18214.38997,"France - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof"
5,788,Tunisia,250,France,61,Apparel and clothing accessories; knitted or crocheted,231811303.374,7895.76642,France - Apparel and clothing accessories; knitted or crocheted
6,788,Tunisia,724,Spain,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",225964103.939,69172.73,"Spain - Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
7,788,Tunisia,250,France,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",214054870.153,415564.459105,"France - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
8,788,Tunisia,380,Italy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",198998317.933,433144.829071,"Italy - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
9,788,Tunisia,250,France,88,"Aircraft, spacecraft, and parts thereof",178857492.034,335.112334,"France - Aircraft, spacecraft, and parts thereof"
10,788,Tunisia,840,United States of America,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",167024146.101,43330.87038,"United States of America - Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
11,788,Tunisia,250,France,39,Plastics and articles thereof,162387912.754,18097.004800000002,France - Plastics and articles thereof
12,788,Tunisia,276,Germany,64,Footwear; gaiters and the like; parts of such articles,132053716.153,3701.113322,Germany - Footwear; gaiters and the like; parts of such articles
13,788,Tunisia,250,France,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",130236393.29,13219.201077,"France - Textiles, made up articles; sets; worn clothing and worn textile articles; rags"
14,788,Tunisia,250,France,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",116844068.553,13926.133855,"France - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
15,788,Tunisia,250,France,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",106621853.007,4951.687712,"France - Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof"
16,788,Tunisia,380,Italy,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",100232722.87,32566.688234,"Italy - Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes"
17,788,Tunisia,380,Italy,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",89939559.845,11312.437686000001,"Italy - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
18,788,Tunisia,566,Nigeria,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",78940912.741,85341.03433,"Nigeria - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
19,788,Tunisia,250,France,64,Footwear; gaiters and the like; parts of such articles,78746152.792,2498.039353,France - Footwear; gaiters and the like; parts of such articles
20,788,Tunisia,724,Spain,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",78387365.609,150471.1,"Spain - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
21,788,Tunisia,276,Germany,62,Apparel and clothing accessories; not knitted or crocheted,75914415.68,2289.80688,Germany - Apparel and clothing accessories; not knitted or crocheted
22,788,Tunisia,840,United States of America,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",67017109.427,132233.868199,"United States of America - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
23,788,Tunisia,250,France,73,Iron or steel articles,57863241.102,20926.389357,France - Iron or steel articles
24,788,Tunisia,380,Italy,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",57061994.202,6894.025569,"Italy - Fish and crustaceans, molluscs and other aquatic invertebrates"
25,788,Tunisia,276,Germany,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",54713303.203,110410.312,"Germany - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
26,788,Tunisia,356,India,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",51131720.062,101461.336159,"India - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes"
27,788,Tunisia,203,Czechia,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",47767257.385,5469.662278,"Czechia - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles"
28,788,Tunisia,250,France,08,"Fruit and nuts, edible; peel of citrus fruit or melons",47735348.698,26667.790628,"France - Fruit and nuts, edible; peel of citrus fruit or melons"
