,imp_code_str3,imp_name,HS2,Description,USD,tonne
0,826,United Kingdom,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",45576781661.343,98400554.63154799
1,826,United Kingdom,44,Wood and articles of wood; wood charcoal,4043593206.048,10764132.092507001
2,826,United Kingdom,72,Iron and steel,5060081978.095,5833976.08332
3,826,United Kingdom,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",48603365879.066,4385504.403148
4,826,United Kingdom,22,"Beverages, spirits and vinegar",6007637028.767,4047130.278666
5,826,United Kingdom,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",4087563584.86,3936539.9398100004
6,826,United Kingdom,39,Plastics and articles thereof,9277755740.047,3789995.214919
7,826,United Kingdom,23,"Food industries, residues and wastes thereof; prepared animal fodder",1420624668.373,2642080.080426
8,826,United Kingdom,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",221634759.314,2143612.355045
9,826,United Kingdom,29,Organic chemicals,3002248859.187,2093861.0083640001
10,826,United Kingdom,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",1363074297.955,1981508.790187
11,826,United Kingdom,73,Iron or steel articles,5599630184.713,1980226.923214
12,826,United Kingdom,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",15529896895.073,1747066.843608
13,826,United Kingdom,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1070439251.7080001,1666802.992195
14,826,United Kingdom,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",5871624076.231,1656233.7826760001
15,826,United Kingdom,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1912761691.093,1388970.7810159998
16,826,United Kingdom,17,Sugars and sugar confectionery,755365913.308,1363576.698396
17,826,United Kingdom,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",1079122269.296,1194071.508054
18,826,United Kingdom,31,Fertilizers,240722012.017,1121476.071666
19,826,United Kingdom,38,Chemical products n.e.c.,2435830552.594,1078263.2856090001
20,826,United Kingdom,10,Cereals,335361924.102,1034341.629254
21,826,United Kingdom,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2636566220.261,953351.212596
22,826,United Kingdom,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",7203867494.535,793832.074632
23,826,United Kingdom,20,"Preparations of vegetables, fruit, nuts or other parts of plants",996781793.579,775903.551693
24,826,United Kingdom,40,Rubber and articles thereof,2310765030.963,678853.635914
25,826,United Kingdom,02,Meat and edible meat offal,2090122494.789,663013.030889
26,826,United Kingdom,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",1333684346.076,658445.785196
27,826,United Kingdom,76,Aluminium and articles thereof,2468360370.534,607013.9810639999
28,826,United Kingdom,07,Vegetables and certain roots and tubers; edible,834772611.226,570041.427247
29,826,United Kingdom,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",332278340.88699996,566915.408825
30,826,United Kingdom,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1492198021.296,559611.111663
31,826,United Kingdom,70,Glass and glassware,904056389.05,554449.191693
32,826,United Kingdom,26,"Ores, slag and ash",366011028.778,533712.9230930001
33,826,United Kingdom,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",1964377615.935,483550.090784
34,826,United Kingdom,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1550574930.506,423970.430817
35,826,United Kingdom,21,Miscellaneous edible preparations,1201824470.798,339343.083659
36,826,United Kingdom,95,"Toys, games and sports requisites; parts and accessories thereof",1824194522.2059999,289430.130436
37,826,United Kingdom,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",154044672.692,225787.78462700002
38,826,United Kingdom,09,"Coffee, tea, mate and spices",697960547.718,207203.421486
39,826,United Kingdom,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1304709406.111,197972.416279
40,826,United Kingdom,57,Carpets and other textile floor coverings,383234761.344,186200.21240400002
41,826,United Kingdom,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1291577718.693,170192.112609
42,826,United Kingdom,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,120662068.68599999,156740.056079
43,826,United Kingdom,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",339173595.92800003,141910.77153600001
44,826,United Kingdom,05,Animal originated products; not elsewhere specified or included,87622810.51799999,140784.887
45,826,United Kingdom,83,Metal; miscellaneous products of base metal,731834434.6029999,134751.157859
46,826,United Kingdom,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",382771179.922,106867.531084
47,826,United Kingdom,74,Copper and articles thereof,580059322.4810001,98879.78457399999
48,826,United Kingdom,69,Ceramic products,156152365.856,98163.95758999999
49,826,United Kingdom,96,Miscellaneous manufactured articles,387296018.567,85026.199996
50,826,United Kingdom,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1303280756.0509999,68237.958205
51,826,United Kingdom,55,Man-made staple fibres,114736121.122,65308.126503
52,826,United Kingdom,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",341121679.407,60734.690991
53,826,United Kingdom,18,Cocoa and cocoa preparations,234228531.676,59092.410182
54,826,United Kingdom,78,Lead and articles thereof,77562872.039,56767.327317
55,826,United Kingdom,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",484475549.331,55738.017849
56,826,United Kingdom,35,Albuminoidal substances; modified starches; glues; enzymes,203634796.602,46937.068178
