,imp_code_str3,imp_name,HS2,Description,USD,tonne
0,858,Uruguay,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1153547483.634,2285516.104076
1,858,Uruguay,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",493859594.58,58587.160984
2,858,Uruguay,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",483388538.18799996,64407.099654000005
3,858,Uruguay,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",272604054.533,27295.962471
4,858,Uruguay,39,Plastics and articles thereof,254928584.353,155388.379965
5,858,Uruguay,31,Fertilizers,191591492.86699998,708164.039762
6,858,Uruguay,38,Chemical products n.e.c.,131420601.929,40216.764641999995
7,858,Uruguay,61,Apparel and clothing accessories; knitted or crocheted,103915559.954,7726.555700999999
8,858,Uruguay,29,Organic chemicals,103477630.089,27180.683888
9,858,Uruguay,62,Apparel and clothing accessories; not knitted or crocheted,94471480.62200001,5756.666732000001
10,858,Uruguay,40,Rubber and articles thereof,85372251.977,30405.296456
11,858,Uruguay,73,Iron or steel articles,81100584.506,42899.999438000006
12,858,Uruguay,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",71806057.21,20142.459235
13,858,Uruguay,10,Cereals,70388518.26,408779.24337
14,858,Uruguay,72,Iron and steel,70193227.868,70716.810046
15,858,Uruguay,64,Footwear; gaiters and the like; parts of such articles,68982189.723,5389.544396
16,858,Uruguay,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",51359551.931,37140.318655999996
17,858,Uruguay,95,"Toys, games and sports requisites; parts and accessories thereof",48077111.063,9007.860318000001
18,858,Uruguay,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",43139564.414,34514.905374
19,858,Uruguay,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",42321891.258,6051.012203
20,858,Uruguay,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",40785060.091,2526.830294
21,858,Uruguay,76,Aluminium and articles thereof,33420302.007000003,12441.030144999999
22,858,Uruguay,20,"Preparations of vegetables, fruit, nuts or other parts of plants",31340869.163,33329.517197
23,858,Uruguay,89,"Ships, boats and floating structures",30101198.32,1448.374
24,858,Uruguay,30,Pharmaceutical products,29454695.402,3363.214838
25,858,Uruguay,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",26761824.38,6816.6866199999995
26,858,Uruguay,54,Man-made filaments; strip and the like of man-made textile materials,26657708.968000002,6671.646105
27,858,Uruguay,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",26225076.693000004,3056.459936
28,858,Uruguay,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",25783920.167999998,10036.036672
29,858,Uruguay,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",25336507.246,6856.9128630000005
30,858,Uruguay,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",23868583.109,31359.486217
31,858,Uruguay,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",23728758.661,337542.632775
32,858,Uruguay,22,"Beverages, spirits and vinegar",23170477.880000003,14922.71397
33,858,Uruguay,70,Glass and glassware,23125059.752,21998.848424
34,858,Uruguay,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21238472.049000002,2314.7242690000003
35,858,Uruguay,96,Miscellaneous manufactured articles,20502512.473,3356.4500439999997
36,858,Uruguay,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",20079790.655,8674.859247
37,858,Uruguay,21,Miscellaneous edible preparations,18261645.712,3693.213127
38,858,Uruguay,41,Raw hides and skins (other than furskins) and leather,17849449.39,2405.70432
39,858,Uruguay,69,Ceramic products,17098311.418,35923.852937999996
40,858,Uruguay,23,"Food industries, residues and wastes thereof; prepared animal fodder",16325841.1,67760.25577999999
41,858,Uruguay,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",16223897.73,4522.40087
42,858,Uruguay,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",15724018.791000001,9180.76147
43,858,Uruguay,83,Metal; miscellaneous products of base metal,14038639.954999998,3201.642865
44,858,Uruguay,08,"Fruit and nuts, edible; peel of citrus fruit or melons",13956241.49,8572.47798
45,858,Uruguay,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13325547.411,22551.269179
46,858,Uruguay,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",12507622.132,4744.450559
47,858,Uruguay,44,Wood and articles of wood; wood charcoal,11870709.212,8479.989381
48,858,Uruguay,07,Vegetables and certain roots and tubers; edible,11596301.63,13111.85622
49,858,Uruguay,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",11565631.016999999,1326.5927299999998
50,858,Uruguay,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",10232471.879999999,17849.32715
51,858,Uruguay,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",10083565.13,2412.40044
