,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,Description,USD,tonne,clean_desc
0,858,Uruguay,156,China,44,Wood and articles of wood; wood charcoal,130603866.16,1483229.7218499999,China - Wood and articles of wood; wood charcoal
1,858,Uruguay,620,Portugal,44,Wood and articles of wood; wood charcoal,83342245.609,903834.33,Portugal - Wood and articles of wood; wood charcoal
2,858,Uruguay,156,China,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",97385081.96,461279.367394,"China - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder"
3,858,Uruguay,156,China,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,221604693.152,273739.69906,China - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
4,858,Uruguay,076,Brazil,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",140579892.0,267181.03,"Brazil - Products of the milling industry; malt, starches, inulin, wheat gluten"
5,858,Uruguay,604,Peru,10,Cereals,93356761.35,168696.545,Peru - Cereals
6,858,Uruguay,724,Spain,26,"Ores, slag and ash",10932096.474,117527.0,"Spain - Ores, slag and ash"
7,858,Uruguay,792,Türkiye,01,Animals; live,400730902.0,115096.8,Türkiye - Animals; live
8,858,Uruguay,250,France,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,73368911.999,111530.26770299999,France - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
9,858,Uruguay,528,Netherlands (Kingdom of the),47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,72055436.152,84057.107605,Netherlands (Kingdom of the) - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
10,858,Uruguay,792,Türkiye,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,57313093.0,83419.933,Türkiye - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
11,858,Uruguay,276,Germany,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,67521414.266,83252.700038,Germany - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
12,858,Uruguay,380,Italy,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,65385160.623,75509.42907099999,Italy - Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard
13,858,Uruguay,752,Sweden,44,Wood and articles of wood; wood charcoal,7143629.842,61079.0,Sweden - Wood and articles of wood; wood charcoal
